time;Bx;By;Bz;BT
0,004155;20,55;11,69;-20,82;31,51
0,012689;20,76;11,54;-20,58;31,43
0,032624;21,02;11,54;-20,67;31,66
0,053151;21,19;11,61;-20,69;31,81
0,072740;21,10;11,39;-20,52;31,56
0,093476;21,19;11,43;-20,39;31,55
0,113544;21,29;11,30;-20,39;31,57
0,133769;21,27;11,28;-20,49;31,61
0,155721;21,30;11,41;-20,30;31,56
0,174882;21,06;11,65;-20,37;31,53
0,194572;20,97;11,54;-20,36;31,42
0,214685;21,15;11,43;-20,24;31,43
0,234749;21,34;11,65;-20,19;31,60
0,265864;21,23;11,60;-20,07;31,43
0,276739;21,02;11,67;-19,83;31,17
0,300146;20,72;11,58;-19,66;30,82
0,314515;20,89;11,52;-19,68;30,93
0,334947;20,87;11,45;-19,66;30,87
0,357972;20,87;11,65;-19,47;30,83
0,375682;20,65;11,65;-19,70;30,82
0,395754;20,52;11,75;-19,70;30,77
0,415422;20,65;11,69;-19,77;30,89
0,435178;20,76;11,78;-19,79;31,01
0,455611;20,97;11,88;-19,89;31,24
0,475851;20,97;11,69;-19,89;31,17
0,496385;21,10;11,65;-19,89;31,25
0,516642;21,23;11,48;-20,04;31,37
0,537052;21,12;11,50;-20,06;31,31
0,557142;21,14;11,43;-20,13;31,35
0,578697;21,14;11,26;-20,06;31,24
0,597770;21,19;11,48;-20,09;31,38
0,616876;21,34;11,31;-20,00;31,36
0,637160;21,00;11,43;-19,94;31,14
0,656993;20,97;11,45;-19,96;31,13
0,678149;20,84;11,54;-19,90;31,04
0,697840;21,15;11,58;-19,90;31,27
0,718098;21,19;11,50;-19,77;31,18
0,737350;21,19;11,63;-19,90;31,32
0,757629;21,21;11,39;-19,79;31,17
0,779196;20,97;11,61;-19,94;31,18
0,798423;20,97;11,84;-19,89;31,23
0,819167;21,06;11,71;-20,02;31,33
0,838299;21,12;11,69;-20,22;31,49
0,858351;21,08;11,61;-20,19;31,41
0,879390;21,12;11,67;-20,50;31,66
0,899291;21,21;11,67;-20,58;31,77
0,919398;21,06;11,82;-20,60;31,74
0,939551;21,02;11,80;-20,45;31,61
0,959520;21,06;11,41;-20,60;31,59
0,980431;21,00;11,30;-20,58;31,50
0,999865;21,08;11,26;-20,37;31,40
1,019930;21,12;11,26;-20,34;31,40
1,041012;21,02;11,30;-20,13;31,22
1,060283;20,91;11,28;-19,85;30,96
1,080459;20,91;11,24;-19,91;30,98
1,101192;21,00;11,33;-19,94;31,10
1,121297;21,25;11,71;-20,00;31,44
1,141144;21,00;11,91;-19,79;31,22
1,161746;20,87;12,01;-19,85;31,21
1,181562;20,74;11,91;-20,19;31,30
1,201464;21,04;12,01;-20,22;31,56
1,223612;21,00;12,01;-20,36;31,62
1,242709;21,00;11,91;-20,45;31,64
1,262782;20,89;11,76;-20,49;31,54
1,282055;20,85;11,50;-20,26;31,27
1,302370;21,02;11,50;-20,49;31,53
1,322276;21,15;11,41;-20,49;31,58
1,342324;21,21;11,65;-20,04;31,42
1,362037;21,00;11,48;-20,00;31,19
1,382350;21,08;11,52;-20,09;31,32
1,402526;21,10;11,30;-20,15;31,28
1,422654;21,23;11,46;-20,19;31,46
1,442825;21,15;11,39;-20,26;31,43
1,463000;21,14;11,41;-20,28;31,43
1,483814;21,15;11,13;-20,17;31,27
1,504283;21,23;10,88;-20,19;31,25
1,523172;21,02;10,77;-20,41;31,22
1,543335;21,08;10,60;-20,32;31,14
1,563892;21,10;10,70;-20,43;31,26
1,583366;21,10;10,53;-20,56;31,28
1,604292;21,02;10,56;-20,79;31,39
1,624226;21,15;10,53;-20,65;31,38
1,644001;21,06;10,85;-20,69;31,45
1,665342;21,06;10,88;-20,73;31,49
1,685141;21,34;10,94;-20,45;31,52
1,705366;21,17;11,13;-20,47;31,48
1,725163;21,27;11,31;-20,30;31,50
1,746172;21,23;11,31;-20,17;31,39
1,765386;21,47;11,13;-20,13;31,47
1,786076;21,40;11,05;-20,07;31,35
1,806251;21,44;11,05;-20,04;31,35
1,828259;21,17;10,92;-20,00;31,10
1,846592;21,04;11,11;-20,09;31,14
1,866570;21,12;11,13;-20,13;31,22
1,885822;21,12;10,77;-20,17;31,12
1,906506;21,21;10,94;-20,20;31,27
1,928397;21,04;11,26;-19,79;31,00
1,947013;21,08;11,33;-19,85;31,09
1,966934;21,15;11,22;-20,09;31,26
1,986805;21,30;11,43;-20,20;31,51
2,006937;21,32;11,18;-20,22;31,44
2,026953;21,38;11,16;-20,15;31,43
2,046952;21,21;11,45;-20,13;31,40
2,067075;21,21;11,18;-19,77;31,08
2,087801;21,04;11,11;-20,09;31,14
2,107691;20,85;11,24;-20,00;31,00
2,127928;20,61;11,39;-20,06;30,93
2,148265;20,80;11,26;-19,96;30,95
2,169344;20,74;11,45;-20,04;31,03
2,188527;20,67;11,41;-20,30;31,13
