time;Bx;By;Bz;BT
0,004977;110,69;60,25;-73,10;145,69
0,017162;110,85;60,31;-72,97;145,77
0,031942;110,80;60,33;-72,91;145,71
0,051931;110,84;60,46;-72,74;145,71
0,074834;111,00;60,25;-72,84;145,80
0,092061;111,04;60,08;-73,10;145,89
0,112061;111,15;60,03;-72,95;145,88
0,132090;111,40;60,05;-72,93;146,06
0,152413;111,55;60,06;-72,86;146,15
0,173456;111,38;60,20;-72,72;146,01
0,200510;111,38;59,67;-72,46;145,66
0,213212;111,12;59,50;-72,63;145,47
0,233595;110,89;59,63;-72,41;145,24
0,253954;111,10;59,69;-72,29;145,37
0,275123;111,08;59,75;-72,50;145,48
0,294012;110,84;59,69;-72,26;145,15
0,317866;110,59;59,54;-72,20;144,87
0,334471;110,63;59,35;-72,37;144,91
0,354282;110,69;59,82;-72,48;145,20
0,374336;110,80;59,97;-72,59;145,40
0,394557;110,84;60,06;-72,71;145,53
0,424470;110,82;59,69;-72,33;145,17
0,436860;110,69;59,56;-72,27;144,99
0,454858;110,74;59,77;-72,63;145,30
0,476729;111,12;59,75;-72,56;145,54
0,495230;110,99;59,80;-72,39;145,38
0,515104;111,00;59,73;-72,54;145,43
0,536176;111,06;59,58;-72,61;145,45
0,556106;111,02;59,16;-72,69;145,29
0,575560;111,00;59,41;-72,84;145,45
0,595898;111,15;59,48;-72,65;145,50
0,616655;111,12;59,24;-72,63;145,37
0,636892;110,86;59,63;-72,72;145,37
0,657949;110,84;59,69;-72,87;145,46
0,676294;110,78;59,86;-72,93;145,51
0,696833;110,70;60,03;-72,84;145,48
0,716852;110,54;60,35;-72,71;145,42
0,737645;110,52;60,55;-72,95;145,61
0,757649;110,40;60,48;-73,10;145,57
0,778546;110,63;60,48;-72,80;145,59
0,799116;110,55;60,27;-72,69;145,39
0,818290;110,61;60,12;-72,67;145,36
0,838926;110,76;60,21;-72,71;145,53
0,858730;110,76;59,95;-72,71;145,42
0,880061;110,97;59,92;-72,63;145,53
0,899911;111,06;59,97;-72,35;145,48
0,917888;111,02;59,90;-72,26;145,38
0,939174;110,78;59,93;-72,27;145,22
0,959325;110,82;59,78;-72,61;145,35
0,980012;110,69;59,95;-72,52;145,27
0,999729;110,72;59,95;-72,42;145,26
1,019112;110,85;59,95;-72,42;145,36
1,039996;111,04;60,20;-72,44;145,61
1,059570;110,89;60,23;-72,86;145,72
1,081120;110,97;60,18;-72,91;145,78
1,100448;110,84;60,05;-73,04;145,69
1,119523;110,85;60,03;-72,71;145,53
1,140164;111,00;60,10;-72,86;145,75
1,161550;110,76;59,91;-72,84;145,48
1,181352;110,59;59,90;-72,99;145,41
1,199845;110,65;59,73;-72,99;145,39
1,219957;110,74;59,46;-72,50;145,11
1,240987;110,80;59,60;-72,41;145,16
1,260470;110,82;59,69;-72,46;145,24
1,281037;110,84;59,67;-72,71;145,37
1,300490;110,91;59,24;-72,78;145,28
1,321174;110,91;59,24;-72,86;145,32
1,341469;110,91;59,37;-72,76;145,33
1,361538;110,87;59,26;-72,80;145,27
1,382670;110,87;59,30;-72,89;145,34
1,401902;110,87;59,30;-73,12;145,45
1,421890;110,99;59,24;-73,23;145,57
1,442123;111,23;59,30;-73,29;145,80
1,462486;111,02;59,50;-73,17;145,67
1,482202;111,23;59,61;-73,21;145,90
1,502117;111,38;59,67;-73,27;146,06
1,522695;111,29;59,78;-73,19;146,00
1,542701;111,44;59,76;-73,17;146,10
1,563018;111,45;59,67;-73,23;146,10
1,583638;111,36;59,45;-73,01;145,82
1,603357;111,08;59,13;-72,86;145,40
1,623378;111,15;59,20;-72,91;145,52
1,643069;111,06;59,01;-72,72;145,28
1,664220;111,25;58,64;-72,39;145,10
1,683780;111,19;58,47;-72,61;145,10
1,704384;111,00;58,23;-72,76;144,94
