time;Bx;By;Bz;BT
0,005008;295,99;-125,17;-150,03;354,66
0,010118;296,09;-125,22;-149,84;354,68
0,036898;295,94;-125,20;-149,73;354,50
0,050180;295,94;-125,39;-149,86;354,63
0,069784;296,05;-125,43;-149,88;354,74
0,090435;296,01;-126,09;-148,02;354,16
0,112878;296,25;-126,50;-147,29;354,21
0,131220;296,72;-126,57;-147,84;354,85
0,151524;297,02;-126,72;-147,99;355,22
0,171281;297,10;-126,85;-147,91;355,30
0,191751;297,29;-126,87;-148,29;355,62
0,211256;297,17;-126,93;-148,40;355,59
0,231937;297,02;-127,02;-148,21;355,42
0,251634;297,06;-127,15;-148,25;355,51
0,271314;297,02;-127,06;-148,21;355,43
0,292289;297,06;-126,78;-148,02;355,29
0,312497;296,91;-126,89;-147,87;355,14
0,332342;296,87;-126,80;-147,87;355,07
0,352511;296,69;-126,69;-147,63;354,78
0,372193;296,63;-126,72;-147,44;354,66
0,392237;296,76;-126,46;-147,61;354,75
0,412981;296,82;-126,29;-147,67;354,76
0,433175;296,70;-126,31;-147,65;354,67
0,453371;296,42;-126,22;-147,50;354,33
0,473189;296,48;-126,10;-147,55;354,37
0,493490;296,61;-126,07;-147,50;354,44
0,514317;296,89;-126,44;-147,70;354,89
0,533745;296,87;-126,39;-147,82;354,90
0,553620;296,89;-126,76;-147,57;354,95
0,573941;296,70;-126,89;-147,87;354,97
0,593991;296,91;-127,10;-147,85;355,21
0,614000;297,14;-127,36;-148,04;355,57
0,634721;296,99;-127,17;-147,85;355,29
0,654880;297,19;-127,32;-148,14;355,64
0,675158;297,40;-127,17;-148,32;355,84
0,696122;297,79;-127,40;-148,51;356,32
0,716140;297,62;-127,06;-148,77;356,17
0,735755;297,66;-127,30;-148,53;356,19
0,755477;297,19;-127,10;-148,45;355,69
0,775321;297,04;-126,93;-148,64;355,58
0,796800;297,10;-127,15;-148,66;355,72
0,817553;296,89;-127,04;-148,51;355,44
0,835655;296,55;-126,99;-148,27;355,04
0,856328;296,12;-126,80;-148,04;354,52
0,875556;296,37;-126,85;-147,76;354,62
0,895860;296,31;-126,59;-147,95;354,56
0,917960;296,52;-126,84;-148,02;354,85
0,937533;296,50;-126,87;-147,87;354,79
0,957243;296,69;-126,74;-148,04;354,97
0,977602;296,40;-126,95;-147,93;354,76
0,997545;296,55;-127,00;-148,04;354,95
1,018097;296,35;-127,17;-147,76;354,72
1,037697;296,12;-127,27;-147,72;354,55
1,057904;296,31;-127,49;-147,59;354,74
1,078776;296,31;-127,49;-147,67;354,77
1,099131;296,57;-127,44;-147,67;354,97
1,119159;296,35;-127,49;-147,70;354,81
1,138552;296,61;-127,17;-147,80;354,96
1,158063;296,39;-127,14;-147,84;354,77
1,182764;296,82;-127,15;-148,12;355,26
1,198101;296,93;-127,27;-148,36;355,49
1,218603;296,72;-126,84;-148,32;355,15
