time;Bx;By;Bz;BT
0,004984;20,65;12,12;-18,69;30,37
0,006034;20,55;12,06;-18,69;30,29
0,026365;20,50;12,08;-18,67;30,24
0,045826;20,52;12,06;-18,65;30,24
0,066437;20,52;11,90;-18,65;30,17
0,086132;20,54;11,91;-18,93;30,36
0,106817;20,52;12,03;-18,95;30,41
0,126631;20,39;12,06;-19,14;30,45
0,147881;20,29;12,06;-19,27;30,47
0,167328;20,44;12,38;-19,44;30,81
0,187533;20,31;12,31;-19,51;30,74
0,207329;20,29;12,50;-19,45;30,76
0,229721;20,12;12,61;-19,60;30,79
0,247408;20,37;12,66;-19,45;30,88
0,267416;20,42;12,48;-19,27;30,72
0,287255;20,33;12,57;-19,08;30,58
0,307681;20,42;12,44;-18,95;30,51
0,329078;20,33;12,18;-18,91;30,32
0,347860;20,50;12,12;-19,04;30,49
0,368755;20,57;12,20;-19,10;30,61
0,389133;20,78;12,18;-18,89;30,61
0,408247;20,59;12,23;-18,84;30,47
0,428452;20,61;12,40;-18,95;30,62
0,449870;20,63;12,38;-19,15;30,75
0,469948;20,63;12,29;-19,25;30,78
0,490176;20,55;12,21;-18,91;30,48
0,509727;20,42;12,40;-18,71;30,34
0,530033;20,24;12,21;-18,76;30,18
0,550083;20,25;12,36;-18,97;30,38
0,570150;20,42;12,38;-19,14;30,60
0,590764;20,35;12,35;-19,31;30,65
0,609899;20,31;12,31;-19,21;30,55
0,631151;20,24;12,42;-19,32;30,61
0,650165;20,35;12,70;-19,70;31,04
0,670759;20,44;12,74;-19,70;31,12
0,690582;20,55;13,04;-19,59;31,24
0,710994;20,27;12,89;-19,61;31,01
0,731272;20,14;12,70;-19,42;30,73
0,751726;20,33;12,66;-19,19;30,69
0,771602;20,37;12,74;-19,16;30,73
0,791272;20,55;12,70;-18,97;30,72
0,811865;20,69;12,53;-18,70;30,58
0,831871;20,67;12,46;-18,80;30,59
0,852038;20,99;12,10;-18,84;30,69
0,871999;21,19;12,25;-18,63;30,76
0,891747;21,14;12,31;-18,82;30,86
0,912641;20,97;12,25;-18,97;30,81
0,932418;21,04;12,27;-19,08;30,94
0,953203;20,85;12,40;-18,95;30,79
0,972756;20,80;12,29;-19,10;30,80
0,993705;20,74;12,12;-19,32;30,83
1,014093;20,67;12,18;-19,40;30,85
1,032785;20,74;12,08;-19,59;30,98
1,053283;20,85;12,23;-19,21;30,88
1,073602;20,93;12,33;-19,19;30,96
1,093792;20,80;12,29;-18,97;30,71
1,114069;20,85;11,97;-19,19;30,77
1,134880;20,72;12,29;-19,15;30,78
1,154508;20,70;12,44;-18,84;30,63
1,175930;20,27;12,50;-18,78;30,33
1,197221;20,27;12,33;-18,78;30,26
1,215618;20,52;12,18;-19,15;30,60
1,234405;20,44;12,12;-19,08;30,48
1,254493;20,50;12,10;-19,32;30,66
1,275488;20,55;12,27;-19,31;30,75
1,295938;20,61;11,97;-19,42;30,74
1,314651;20,52;11,93;-19,42;30,67
1,335016;20,70;11,90;-19,53;30,85
1,354884;20,46;12,14;-19,55;30,79
1,375284;20,24;12,18;-19,36;30,54
1,395027;20,35;12,10;-19,44;30,63
1,416028;20,20;11,99;-19,27;30,38
1,435931;19,99;11,95;-19,32;30,26
1,455703;20,10;12,20;-19,04;30,26
1,475902;20,18;12,18;-19,10;30,34
1,501329;20,09;12,27;-19,06;30,29
1,518534;20,42;12,23;-18,95;30,43
1,537129;20,39;12,23;-18,91;30,38
1,556487;20,46;12,35;-18,80;30,40
1,577282;20,44;12,63;-18,71;30,45
1,597927;20,65;12,70;-18,56;30,53
1,619212;20,55;12,44;-18,69;30,44
1,637858;20,59;12,35;-18,72;30,45
1,657705;20,67;12,42;-18,57;30,44
1,678118;20,42;12,23;-18,69;30,26
1,698841;20,18;12,18;-18,84;30,17
1,719062;20,07;11,99;-19,12;30,20
1,737928;20,29;11,91;-19,32;30,45
1,758131;20,31;12,03;-19,25;30,46
1,779021;20,52;12,31;-19,27;30,72
1,798327;20,52;12,63;-19,27;30,85
1,818419;20,39;12,50;-19,34;30,75
1,838711;20,46;12,38;-19,14;30,63
