time;Bx;By;Bz;BT
0,004288;21,64;10,10;-19,96;31,12
0,009625;21,45;9,96;-19,92;30,93
0,029123;21,42;10,04;-19,92;30,93
0,049563;21,34;9,98;-19,81;30,78
0,070059;21,57;10,15;-19,66;30,90
0,090360;21,64;10,17;-19,90;31,11
0,110391;21,77;10,21;-19,64;31,05
0,130718;21,51;10,47;-19,68;30,98
0,150729;21,55;10,53;-19,45;30,88
0,170971;22,04;10,56;-19,40;31,20
0,191585;22,04;10,56;-19,34;31,17
0,211133;22,02;10,68;-19,32;31,18
0,232597;21,98;10,75;-19,40;31,23
0,251787;21,90;10,60;-19,15;30,97
0,272363;22,05;10,32;-19,30;31,07
0,294157;22,09;10,25;-19,14;30,97
0,312006;21,94;10,53;-19,42;31,13
0,332394;21,51;10,53;-19,38;30,81
0,352687;21,42;10,49;-19,57;30,85
0,372229;21,42;10,13;-19,44;30,65
0,392706;21,38;10,04;-19,44;30,59
0,412617;21,34;10,26;-19,40;30,61
0,433515;21,30;10,53;-19,23;30,57
0,453348;21,29;10,55;-19,47;30,72
0,473795;21,34;10,34;-19,32;30,59
0,493954;21,38;10,47;-19,32;30,66
0,514530;21,40;10,36;-19,17;30,54
0,533460;21,38;10,60;-19,36;30,73
0,553491;21,51;10,79;-19,23;30,80
0,573639;21,51;10,60;-19,27;30,76
0,594018;21,21;10,58;-19,47;30,68
0,614370;21,23;10,60;-19,30;30,59
0,634275;21,12;10,58;-19,32;30,52
0,655418;21,27;10,30;-19,47;30,62
0,674473;21,44;10,28;-19,72;30,89
0,694796;21,57;10,45;-19,68;31,01
0,715102;21,32;10,15;-19,89;30,87
0,735586;21,45;10,41;-20,07;31,17
0,756325;21,64;10,36;-20,07;31,28
0,775460;21,66;10,21;-20,28;31,38
0,795677;21,77;10,23;-20,22;31,43
0,820744;21,64;10,40;-20,19;31,37
0,836126;21,42;10,49;-20,06;31,16
0,855690;21,30;10,34;-20,17;31,11
0,876049;21,49;10,47;-20,24;31,33
0,896146;21,47;10,32;-20,07;31,15
0,921374;21,64;10,41;-20,07;31,30
0,936936;21,74;10,45;-19,98;31,32
0,956761;21,60;10,51;-19,98;31,25
0,976895;21,70;10,55;-19,92;31,29
0,997441;21,81;10,53;-19,75;31,25
1,020436;21,77;10,36;-19,66;31,11
1,037559;21,96;10,34;-19,61;31,20
1,057387;22,00;10,21;-19,76;31,28
1,077807;21,98;10,32;-19,77;31,31
1,097785;21,75;10,19;-19,87;31,17
1,118404;21,72;10,19;-19,90;31,17
1,139407;21,60;10,23;-20,02;31,18
1,158292;21,49;10,25;-19,96;31,07
1,177491;21,51;10,49;-19,68;30,98
1,197472;21,36;10,34;-19,57;30,76
1,218722;21,38;10,42;-19,53;30,77
1,240495;21,14;10,47;-19,42;30,55
1,259029;21,29;10,58;-19,17;30,54
1,279711;21,23;10,45;-19,14;30,43
