time;Bx;By;Bz;BT
0,013528;21,32;12,40;-19,57;31,49
0,035666;21,59;12,23;-19,60;31,62
0,053915;21,59;12,14;-19,70;31,64
0,074245;21,34;12,05;-19,49;31,31
0,095315;21,29;12,03;-19,51;31,28
0,115052;21,23;11,75;-19,62;31,20
0,134591;21,08;11,84;-19,68;31,17
0,156423;21,06;11,86;-20,02;31,38
0,174725;20,93;11,76;-19,96;31,22
0,195996;20,72;11,67;-20,02;31,09
0,215147;20,70;11,92;-20,00;31,15
0,235312;20,82;11,97;-20,11;31,32
0,255053;20,80;11,76;-20,32;31,37
0,275565;20,54;12,03;-19,96;31,06
0,295213;20,65;11,97;-19,94;31,10
0,316372;20,61;11,86;-19,70;30,88
0,335768;20,89;11,93;-19,81;31,17
0,356144;21,15;11,97;-19,68;31,27
0,376341;21,10;11,86;-19,70;31,21
0,397603;21,10;12,18;-19,40;31,14
0,416314;21,10;12,36;-19,17;31,07
0,436391;21,36;12,33;-19,49;31,44
0,457010;21,44;12,33;-19,40;31,43
0,477445;21,34;12,63;-19,38;31,47
0,497613;21,21;12,80;-19,25;31,37
0,517136;21,00;12,96;-19,36;31,37
0,537393;21,14;13,00;-19,27;31,42
0,565519;21,17;12,78;-19,34;31,40
0,582123;21,21;12,78;-19,29;31,39
0,598245;21,19;12,70;-19,27;31,33
0,618067;21,14;12,91;-19,34;31,42
0,638523;21,27;12,68;-19,47;31,50
0,664244;21,29;12,48;-19,42;31,40
0,679467;21,40;12,50;-19,44;31,49
0,700880;21,17;12,29;-19,53;31,32
0,719037;21,17;12,46;-19,59;31,42
0,739334;21,14;12,46;-19,68;31,45
0,759219;21,06;12,66;-19,51;31,38
0,782368;21,10;12,51;-19,45;31,31
0,801025;20,97;12,42;-19,42;31,16
0,819760;21,15;12,55;-19,55;31,42
0,839977;21,04;12,35;-19,57;31,27
0,860159;20,95;12,55;-19,47;31,23
0,880870;20,95;12,42;-19,51;31,21
0,900552;21,08;12,33;-19,34;31,15
0,920908;21,06;12,25;-19,42;31,16
0,940527;21,04;12,03;-19,45;31,08
0,960608;21,00;12,10;-19,42;31,06
0,982723;20,76;12,05;-19,40;30,86
1,003062;20,59;12,18;-19,36;30,78
1,021806;20,84;12,06;-19,57;31,03
1,042438;20,89;12,14;-19,72;31,19
1,062210;20,80;12,23;-19,75;31,18
1,082335;20,91;12,44;-19,64;31,27
1,103375;20,91;12,65;-19,77;31,44
1,125180;20,97;12,78;-19,70;31,48
1,143292;21,00;12,74;-19,57;31,41
1,163959;21,00;12,70;-19,47;31,33
1,184229;21,06;12,83;-19,29;31,31
1,203016;20,82;12,80;-18,91;30,90
1,223299;20,85;12,96;-18,87;30,97
1,243429;20,85;12,91;-18,87;30,95
1,263737;20,59;12,83;-18,61;30,58
1,283738;20,52;12,66;-18,50;30,39
1,303669;20,52;12,80;-18,57;30,49
1,324758;20,76;12,68;-18,69;30,68
1,344259;20,65;12,53;-18,72;30,56
1,364549;20,87;12,40;-18,85;30,74
1,384435;20,93;12,18;-18,99;30,77
1,403700;20,95;12,06;-19,32;30,95
1,425035;21,15;12,03;-19,42;31,13
1,444319;21,17;11,97;-19,60;31,24
1,464020;21,08;12,05;-19,57;31,18
1,484522;21,02;12,21;-19,34;31,07
1,505539;21,17;12,20;-19,30;31,14
1,526966;21,23;12,20;-19,40;31,24
1,545446;20,95;12,16;-19,34;31,00
1,564949;20,84;12,06;-18,91;30,62
1,585413;20,84;12,06;-18,84;30,57
1,604930;21,00;12,31;-18,82;30,77
1,625799;21,00;12,18;-18,82;30,72
1,646014;20,76;12,29;-19,02;30,72
1,665475;20,54;12,55;-19,08;30,71
1,686130;20,61;12,51;-19,08;30,75
1,706051;20,97;12,61;-19,08;31,03
1,725723;21,15;12,78;-19,17;31,28
1,745229;21,29;12,78;-19,40;31,51
1,766549;21,19;12,59;-19,30;31,31
1,787632;21,36;12,66;-19,55;31,60
1,806584;21,53;12,42;-19,60;31,66
1,826442;21,68;12,05;-19,59;31,60
1,847033;21,57;12,20;-19,53;31,55
1,866741;21,45;12,18;-19,60;31,51
1,887431;21,10;12,05;-19,70;31,28
1,907688;21,12;11,95;-19,53;31,15
1,927179;20,99;11,95;-19,62;31,12
1,948178;20,78;11,71;-19,42;30,76
1,967660;20,97;11,88;-19,31;30,88
1,987912;20,97;12,14;-19,25;30,94
2,008352;20,97;12,33;-19,38;31,10
2,027845;20,78;12,38;-19,31;30,95
2,050443;20,78;12,29;-19,25;30,88
2,070357;20,65;12,59;-19,25;30,91
2,088396;20,74;12,65;-19,08;30,89
2,110205;20,91;12,74;-19,04;31,02
