time;Bx;By;Bz;BT
0,004688;-26,28;-15,63;-3,26;30,75
0,030027;-26,10;-15,55;-3,14;30,54
0,041974;-26,08;-15,61;-3,03;30,54
0,062048;-26,17;-15,63;-2,92;30,62
0,084070;-26,32;-15,74;-2,81;30,80
0,102797;-26,30;-15,72;-2,92;30,78
0,122938;-26,10;-15,87;-2,94;30,68
0,142990;-26,15;-15,85;-2,73;30,70
0,163152;-26,19;-15,99;-2,73;30,80
0,193703;-26,34;-16,00;-2,92;30,96
0,203492;-26,21;-15,91;-3,09;30,81
0,223936;-26,08;-15,84;-2,96;30,65
0,243866;-26,08;-15,65;-3,09;30,57
0,264046;-26,28;-15,57;-3,07;30,70
0,294330;-26,77;-15,54;-2,94;31,09
0,304100;-26,68;-15,33;-2,92;30,91
0,324401;-26,68;-15,39;-2,79;30,92
0,344359;-26,58;-15,44;-2,75;30,87
0,364556;-26,60;-15,52;-2,73;30,92
0,385272;-26,92;-15,52;-2,77;31,20
0,405587;-27,01;-15,70;-2,67;31,36
0,425501;-26,94;-15,78;-2,56;31,33
0,445013;-26,83;-15,70;-2,71;31,20
0,464882;-26,92;-15,95;-2,82;31,42
0,485709;-26,86;-15,84;-2,90;31,32
0,507218;-27,01;-15,63;-2,82;31,34
0,526183;-27,13;-15,52;-2,81;31,38
0,545480;-26,98;-15,22;-2,92;31,11
0,565862;-27,07;-14,99;-2,97;31,09
0,586469;-26,94;-15,12;-2,97;31,04
0,606829;-27,03;-15,18;-2,94;31,14
0,627447;-27,09;-15,09;-2,77;31,13
0,647243;-27,46;-15,27;-2,96;31,56
0,668275;-27,43;-15,37;-2,88;31,57
0,687801;-27,50;-15,35;-2,73;31,61
0,707630;-27,52;-15,78;-2,54;31,82
0,727157;-27,39;-15,95;-2,32;31,78
0,748143;-27,35;-15,99;-2,13;31,75
0,767587;-27,15;-15,82;-2,15;31,49
0,790496;-27,20;-15,76;-2,43;31,53
0,808384;-26,96;-15,70;-2,19;31,27
0,828291;-27,07;-15,89;-2,21;31,47
0,848153;-26,79;-15,89;-2,21;31,23
0,868566;-26,94;-15,69;-2,32;31,26
0,888555;-26,79;-15,57;-2,30;31,07
0,908688;-26,83;-15,27;-2,52;30,97
0,928921;-26,94;-15,39;-2,51;31,12
0,949527;-26,77;-15,59;-2,24;31,06
0,970022;-26,53;-15,48;-2,45;30,81
0,990718;-26,53;-15,27;-2,62;30,72
1,010635;-26,73;-15,29;-2,60;30,91
1,030605;-26,58;-15,31;-2,62;30,79
1,049673;-26,77;-15,12;-2,86;30,88
1,070116;-26,83;-15,16;-2,64;30,93
1,091871;-26,86;-15,20;-2,56;30,97
1,109772;-27,09;-15,03;-2,60;31,09
1,130532;-27,43;-14,88;-2,52;31,30
1,151055;-27,39;-14,88;-2,32;31,26
1,173053;-27,61;-14,92;-2,09;31,46
1,191158;-27,90;-15,03;-2,02;31,75
1,210404;-28,16;-15,03;-1,70;31,96
1,230447;-28,36;-15,03;-1,70;32,14
1,250697;-28,08;-14,88;-1,66;31,82
1,272356;-28,14;-14,73;-1,47;31,80
1,292555;-28,14;-14,80;-1,34;31,82
1,311764;-28,25;-14,69;-1,23;31,87
1,331708;-27,91;-14,64;-1,47;31,55
1,351052;-27,76;-14,30;-1,46;31,26
1,372086;-27,50;-14,34;-1,72;31,06
1,392209;-27,41;-14,35;-1,66;30,98
1,412771;-27,48;-14,20;-1,55;30,98
1,432899;-27,48;-14,20;-1,85;30,99
1,456706;-27,45;-14,15;-1,83;30,93
1,473691;-27,39;-14,19;-1,83;30,90
1,493275;-27,43;-14,09;-1,96;30,90
1,513610;-27,43;-14,32;-1,79;30,99
1,533090;-27,43;-14,35;-1,49;30,99
1,554589;-27,45;-14,34;-1,55;31,00
1,574312;-27,67;-14,60;-1,55;31,32
1,593856;-27,69;-14,75;-1,40;31,40
1,614195;-27,76;-14,64;-1,42;31,42
1,634417;-27,67;-14,77;-1,46;31,40
1,655582;-27,84;-14,71;-1,25;31,51
1,676236;-27,99;-14,73;-1,40;31,66
1,693941;-27,88;-14,80;-1,61;31,60
1,714654;-27,80;-14,92;-1,46;31,58
1,734739;-27,69;-14,77;-1,47;31,42
1,757807;-27,50;-14,75;-1,27;31,23
1,776535;-27,30;-14,86;-1,31;31,11
1,795247;-27,46;-14,94;-1,38;31,29
1,815300;-27,48;-15,22;-1,53;31,45
1,840256;-27,20;-15,03;-1,38;31,11
1,854777;-27,28;-15,05;-1,27;31,18
1,875104;-27,24;-15,01;-1,53;31,14
1,895002;-27,22;-15,09;-1,74;31,17
1,915787;-27,09;-15,09;-1,92;31,07
1,940076;-27,20;-15,14;-1,89;31,19
1,955458;-27,15;-14,79;-1,79;30,96
1,975728;-26,94;-14,58;-1,83;30,69
1,996023;-26,96;-14,77;-1,94;30,80
2,016286;-27,07;-14,79;-1,87;30,90
2,040720;-27,16;-14,73;-1,64;30,94
2,056677;-27,31;-14,65;-1,47;31,03
2,076752;-27,31;-14,69;-1,42;31,05
2,096692;-27,20;-14,67;-1,49;30,94
2,117202;-27,43;-14,67;-1,59;31,15
2,136680;-27,45;-14,79;-1,47;31,21
2,157260;-27,56;-14,73;-1,44;31,28
2,178103;-27,31;-14,80;-1,38;31,10
2,197928;-27,22;-14,90;-1,61;31,07
2,217690;-27,13;-15,03;-1,53;31,05
2,237013;-27,24;-14,84;-1,51;31,06
2,258101;-27,33;-14,97;-1,34;31,19
2,277818;-27,00;-15,31;-1,44;31,07
2,298559;-26,98;-15,25;-1,29;31,02
2,318454;-26,83;-15,10;-1,53;30,82
2,338840;-26,83;-14,92;-1,66;30,74
2,360144;-26,81;-14,90;-1,55;30,71
2,380034;-26,83;-14,84;-1,47;30,69
2,399396;-26,96;-15,01;-1,44;30,89
2,419489;-26,81;-14,90;-1,59;30,71
2,443082;-26,92;-14,82;-1,49;30,77
2,460835;-26,90;-14,84;-1,68;30,77
2,480065;-26,98;-15,18;-1,68;31,00
2,499575;-27,15;-15,14;-1,94;31,14
2,520760;-27,22;-15,18;-1,87;31,22
2,540185;-26,98;-15,24;-1,76;31,03
2,561465;-26,66;-15,33;-1,66;30,80
2,580532;-26,71;-15,40;-1,32;30,87
2,602566;-26,81;-15,24;-1,27;30,86
2,623489;-26,94;-15,37;-0,87;31,03
2,640551;-26,98;-15,31;-0,72;31,03
2,662449;-26,98;-15,50;-0,54;31,12
2,681679;-27,16;-15,50;-0,54;31,28
2,701652;-27,41;-15,52;-0,70;31,50
2,721987;-27,67;-15,29;-0,93;31,63
2,742207;-27,76;-15,25;-1,25;31,70
2,762030;-27,88;-15,50;-1,40;31,93
2,781799;-27,75;-15,37;-1,76;31,76
2,802279;-27,60;-15,33;-1,89;31,62
2,823038;-27,43;-15,14;-1,98;31,39
2,841991;-27,31;-15,18;-2,39;31,34
2,861711;-27,20;-14,93;-2,45;31,13
2,882438;-27,24;-15,09;-2,43;31,23
2,902206;-27,31;-15,05;-2,32;31,27
2,923405;-27,16;-14,97;-2,26;31,10
2,943356;-27,18;-14,86;-2,32;31,07
2,964479;-27,26;-14,79;-2,34;31,10
2,984028;-27,37;-15,03;-2,41;31,32
3,003854;-27,09;-14,82;-2,30;30,96
3,024069;-27,24;-15,14;-2,52;31,27
3,045578;-27,05;-14,92;-2,52;30,99
3,063651;-26,98;-14,90;-2,54;30,92
3,083861;-26,90;-15,01;-2,75;30,93
3,103120;-27,01;-15,03;-2,64;31,03
3,129168;-26,98;-14,86;-2,43;30,89
3,144972;-26,94;-14,80;-2,49;30,84
3,164565;-26,98;-14,71;-2,49;30,83
3,184060;-26,92;-14,58;-2,39;30,71
3,204836;-27,15;-14,71;-2,47;30,97
3,225392;-27,03;-14,88;-2,52;30,96
3,246421;-27,30;-14,69;-1,98;31,06
3,265448;-27,30;-14,69;-1,98;31,06
3,285542;-27,31;-14,97;-2,00;31,21
3,304737;-27,52;-14,90;-1,59;31,33
3,326060;-27,86;-14,92;-1,47;31,63
3,345494;-27,76;-14,86;-1,51;31,53
3,365548;-27,76;-14,92;-1,47;31,55
3,385652;-27,76;-14,86;-1,53;31,53
3,406056;-27,33;-14,95;-1,76;31,21
3,426595;-27,54;-15,16;-1,70;31,48
3,447263;-27,78;-15,05;-1,68;31,64
3,466787;-27,78;-15,14;-1,98;31,70
3,486191;-27,61;-15,35;-1,79;31,64
3,506511;-27,65;-15,29;-1,77;31,65
3,528144;-27,52;-15,39;-1,55;31,57
3,547270;-27,63;-15,14;-1,44;31,54
3,567843;-27,58;-14,97;-1,31;31,41
3,588089;-27,63;-14,90;-1,55;31,43
3,606981;-27,18;-14,86;-1,49;31,02
3,627287;-27,03;-14,56;-1,21;30,73
3,647982;-27,11;-14,49;-1,31;30,76
3,667859;-27,24;-14,52;-1,23;30,89
3,688739;-27,33;-14,60;-1,32;31,02
3,709087;-27,41;-14,90;-1,38;31,23
3,729420;-27,78;-15,05;-1,59;31,64
3,748181;-27,46;-15,07;-1,34;31,35
