time;Bx;By;Bz;BT
0,004839;26,27;1,56;-14,94;30,26
0,005323;26,05;1,60;-14,84;30,02
0,019302;26,10;1,71;-14,66;29,99
0,028315;25,97;1,88;-14,37;29,75
0,048961;26,16;1,85;-14,34;29,89
0,069258;26,01;1,86;-14,37;29,78
0,089153;26,07;1,85;-14,49;29,88
0,111783;26,07;1,32;-14,79;30,00
0,130336;26,33;1,19;-14,66;30,16
0,149819;26,46;1,10;-14,47;30,18
0,169907;26,54;1,06;-14,58;30,30
0,190290;26,61;0,66;-14,81;30,46
0,218892;26,54;0,95;-14,60;30,30
0,230484;26,50;1,23;-14,66;30,31
0,250184;26,44;1,34;-14,54;30,21
0,270507;26,33;1,58;-14,26;29,99
0,291442;26,14;1,92;-14,09;29,76
0,319577;26,20;2,01;-14,19;29,86
0,331426;26,16;2,00;-14,30;29,88
0,351236;26,25;2,18;-14,17;29,91
0,371627;26,33;2,00;-14,50;30,13
0,391243;26,16;1,96;-14,54;30,00
0,412673;26,16;1,90;-14,84;30,14
0,431510;26,14;2,05;-14,82;30,12
0,452356;26,12;2,11;-15,03;30,21
0,472205;26,01;1,77;-14,84;30,00
0,492321;25,88;1,64;-14,71;29,81
0,512274;25,77;1,60;-14,66;29,69
0,532459;25,62;1,55;-14,66;29,55
0,552918;25,95;1,40;-14,82;29,92
0,573351;26,01;1,34;-14,60;29,86
0,593409;25,84;1,08;-14,69;29,75
0,614471;26,05;0,95;-14,86;30,00
0,632798;26,09;1,30;-14,94;30,09
0,653497;26,29;1,38;-14,90;30,25
0,673465;26,27;1,36;-15,05;30,31
0,694253;26,35;1,38;-14,84;30,27
0,714686;26,40;1,40;-14,77;30,29
0,734138;26,46;1,56;-14,67;30,30
0,754017;26,72;1,79;-14,58;30,49
0,774260;26,61;1,81;-14,39;30,31
0,794521;26,70;1,64;-14,62;30,49
0,814079;26,70;1,86;-14,84;30,61
0,834787;26,89;1,96;-14,81;30,76
0,854876;26,91;1,94;-15,05;30,89
0,875070;26,74;1,71;-15,10;30,76
0,894903;26,78;1,51;-15,14;30,80
0,915312;26,70;1,30;-15,29;30,80
0,935558;26,78;1,25;-15,27;30,85
0,955722;26,80;1,36;-15,22;30,85
0,975934;26,82;1,41;-14,94;30,73
0,996183;26,72;1,38;-14,88;30,62
1,016565;26,55;1,43;-14,62;30,35
1,036802;26,69;1,70;-14,75;30,54
1,056201;26,57;1,85;-14,90;30,52
1,077433;26,65;1,86;-15,10;30,69
1,099242;26,57;1,98;-14,99;30,58
1,117011;26,40;1,98;-14,94;30,40
1,136783;26,46;1,85;-14,84;30,40
