time;Bx;By;Bz;BT
0,004942;26,55;1,58;-14,69;30,39
0,010347;26,54;1,56;-14,75;30,40
0,030871;26,39;1,28;-14,60;30,18
0,060044;26,05;1,32;-14,62;29,90
0,071186;25,92;1,26;-14,84;29,89
0,091288;26,10;1,17;-14,92;30,09
0,111163;26,24;1,13;-15,14;30,31
0,131414;26,22;1,11;-15,03;30,24
0,154107;26,24;1,10;-15,11;30,29
0,171624;26,18;0,96;-15,03;30,20
0,192043;26,24;0,98;-15,10;30,29
0,211573;26,33;0,98;-15,37;30,50
0,232612;26,61;0,93;-15,29;30,71
0,262458;26,44;0,91;-15,46;30,64
0,272607;26,52;1,19;-15,39;30,68
0,293280;26,59;1,11;-15,50;30,80
0,312707;26,59;1,02;-15,44;30,77
0,332730;26,54;1,34;-15,50;30,76
0,354128;26,54;1,30;-15,44;30,73
0,378914;26,57;1,51;-15,09;30,59
0,394285;26,29;1,66;-15,10;30,37
0,413648;26,35;1,88;-14,97;30,36
0,433329;26,24;1,70;-14,82;30,18
0,453384;26,42;1,68;-14,77;30,32
0,474063;26,22;1,73;-14,84;30,18
0,494630;26,33;1,90;-14,86;30,29
0,514730;26,37;2,09;-14,75;30,28
0,534412;26,27;2,01;-15,11;30,37
0,554566;26,31;1,98;-15,07;30,38
0,575573;26,42;1,73;-15,03;30,45
0,595368;26,63;2,01;-15,11;30,68
0,615337;26,44;2,00;-14,94;30,44
0,635176;26,63;1,96;-14,97;30,61
0,655667;26,78;1,75;-15,01;30,75
0,676016;26,69;1,85;-14,94;30,64
0,697003;26,76;1,73;-14,69;30,58
0,715651;26,78;1,53;-14,75;30,61
0,736771;26,63;1,53;-15,03;30,62
0,757102;26,76;1,36;-15,03;30,72
0,776538;26,65;1,51;-15,33;30,78
0,796498;26,67;1,71;-15,22;30,75
0,816908;26,39;1,70;-15,31;30,55
0,836721;26,37;1,68;-15,46;30,61
0,856557;26,54;1,85;-15,56;30,81
0,877120;26,46;2,16;-15,48;30,73
0,897256;26,54;2,18;-15,14;30,63
0,916644;26,12;2,09;-15,22;30,30
0,938983;26,29;2,05;-15,16;30,42
0,958330;26,39;1,86;-15,16;30,49
0,978063;26,59;2,00;-15,12;30,66
0,998490;26,57;1,88;-14,97;30,56
1,018186;26,44;1,79;-14,94;30,42
1,037972;26,48;1,51;-15,14;30,54
1,059233;26,46;1,62;-15,39;30,65
1,078083;26,55;1,66;-15,31;30,70
1,099176;26,52;1,96;-15,27;30,66
1,123982;26,35;2,07;-15,52;30,65
1,141572;26,07;1,79;-15,54;30,40
1,158931;26,10;1,70;-15,67;30,49
1,178572;26,16;1,79;-15,67;30,55
1,199565;26,39;2,01;-15,72;30,78
1,224736;26,48;1,92;-15,76;30,88
1,239830;26,70;1,88;-15,76;31,07
1,259332;26,59;1,43;-15,61;30,87
1,279162;26,65;1,34;-15,39;30,80
1,300825;26,99;1,30;-15,41;31,10
1,321360;27,08;1,49;-15,44;31,21
1,342348;27,19;1,56;-15,27;31,23
1,360363;27,25;1,51;-15,12;31,20
1,382364;26,95;1,66;-15,07;30,92
1,400766;26,63;1,79;-15,11;30,67
1,420504;26,82;1,79;-15,24;30,90
1,443054;26,69;1,79;-15,46;30,89
1,461286;26,67;1,96;-15,41;30,86
1,481560;26,70;1,73;-15,41;30,88
1,501727;26,65;1,55;-15,50;30,87
1,521642;26,24;1,56;-15,29;30,41
1,543676;26,29;1,56;-15,20;30,41
1,562433;26,39;1,53;-15,07;30,42
1,582506;26,20;1,66;-15,24;30,35
1,601917;26,22;1,64;-14,90;30,20
1,621771;26,14;1,60;-14,88;30,12
1,642010;26,16;1,62;-14,90;30,15
1,662478;26,16;1,58;-14,86;30,13
1,682647;26,44;1,60;-15,07;30,48
1,703856;26,50;1,55;-14,99;30,49
