time;Bx;By;Bz;BT
0,003612;26,25;4,60;-15,26;30,71
0,022509;26,46;4,58;-15,31;30,91
0,038449;26,27;4,75;-15,24;30,74
0,058104;26,25;4,51;-15,39;30,76
0,079996;26,16;4,47;-15,35;30,66
0,099023;26,22;4,58;-15,63;30,86
0,118797;26,07;4,51;-15,74;30,78
0,139134;25,73;4,58;-15,71;30,49
0,159195;25,88;4,43;-15,87;30,68
0,179517;25,75;4,51;-15,93;30,61
0,199762;25,82;4,49;-16,17;30,80
0,219345;25,90;4,45;-15,86;30,69
0,239536;25,84;4,62;-15,86;30,67
0,259709;25,67;4,75;-15,89;30,57
0,280485;25,94;4,75;-15,76;30,72
0,301076;26,42;4,71;-15,80;31,15
0,320180;26,24;4,77;-15,50;30,84
0,340450;26,27;4,90;-15,54;30,91
0,360480;26,29;5,15;-15,59;31,00
0,380967;26,27;5,30;-15,57;31,00
0,401005;26,25;5,15;-15,59;30,97
0,420885;26,54;5,30;-15,67;31,27
0,441284;26,48;5,26;-15,67;31,21
0,461085;26,25;5,09;-15,67;31,00
0,484426;26,40;5,11;-15,97;31,28
0,501258;26,57;5,05;-16,04;31,45
0,521880;26,44;4,79;-15,82;31,18
0,541741;26,54;4,79;-15,95;31,33
0,561818;26,70;5,03;-15,80;31,43
0,584769;26,59;4,88;-15,69;31,26
0,602731;26,67;4,90;-15,71;31,33
0,623354;26,74;4,90;-15,84;31,46
0,642603;26,76;4,94;-15,93;31,53
0,662208;26,82;4,96;-15,82;31,53
0,683814;27,19;4,98;-15,93;31,91
0,703011;27,12;4,86;-16,01;31,86
0,723412;26,80;4,73;-16,01;31,57
0,743098;26,82;4,70;-15,80;31,48
0,763539;26,82;4,47;-15,67;31,38
0,783899;26,89;4,71;-15,65;31,47
0,803814;26,82;4,51;-15,50;31,30
0,823714;26,59;4,47;-15,50;31,10
0,844410;26,35;4,62;-15,57;30,95
0,866034;26,40;4,62;-15,52;30,97
0,884834;26,65;4,60;-15,44;31,14
0,903789;26,61;4,66;-15,54;31,16
0,924942;26,57;4,85;-15,67;31,23
0,945493;26,55;4,64;-15,65;31,17
0,966941;26,59;4,88;-15,72;31,28
0,984753;26,55;4,88;-15,67;31,22
