time;Bx;By;Bz;BT
0,003106;-25,81;-16,96;-1,21;30,91
0,021842;-25,96;-16,75;-1,14;30,92
0,040449;-26,02;-16,83;-1,29;31,01
0,059598;-26,17;-16,87;-1,12;31,15
0,081122;-26,21;-17,19;-1,04;31,36
0,100690;-26,11;-17,20;-1,12;31,29
0,122047;-26,26;-17,58;-1,10;31,62
0,141695;-26,40;-17,67;-1,44;31,80
0,161230;-26,26;-17,64;-1,31;31,66
0,183249;-26,00;-17,50;-1,31;31,37
0,201405;-26,00;-17,41;-1,08;31,31
0,221609;-26,19;-17,30;-1,19;31,41
0,242183;-26,04;-17,26;-1,29;31,27
0,261922;-26,11;-17,17;-1,29;31,28
0,288486;-26,13;-17,11;-1,44;31,27
0,302371;-25,83;-16,87;-0,99;30,87
0,322295;-25,96;-16,90;-0,99;31,00
0,342158;-25,93;-17,13;-0,78;31,08
0,362789;-25,72;-17,02;-0,99;30,86
0,382655;-25,44;-16,90;-0,87;30,56
0,402773;-25,66;-16,94;-0,65;30,76
0,422897;-25,61;-17,15;-0,61;30,82
0,444359;-25,42;-17,07;-0,33;30,62
0,463698;-25,50;-17,41;-0,57;30,88
0,483975;-25,44;-17,35;-0,72;30,80
0,504134;-25,48;-17,26;-0,89;30,79
0,525937;-25,48;-17,35;-0,97;30,84
0,544553;-25,65;-17,32;-1,01;30,96
0,564343;-25,50;-17,00;-1,08;30,66
0,584404;-25,72;-16,90;-1,14;30,80
0,604422;-25,98;-16,94;-1,40;31,05
0,624564;-26,13;-16,83;-1,25;31,11
0,645059;-26,23;-16,81;-1,40;31,18
0,664879;-26,47;-16,92;-1,42;31,45
0,685297;-26,88;-16,87;-1,51;31,77
0,709967;-27,01;-16,96;-1,47;31,93
0,726651;-27,09;-17,11;-1,59;32,08
0,745130;-26,77;-17,30;-1,40;31,90
0,765071;-26,64;-17,22;-1,04;31,74
0,785147;-26,51;-17,30;-1,04;31,67
0,805672;-26,36;-17,22;-0,76;31,50
0,825929;-26,08;-17,11;-0,61;31,20
0,846687;-26,19;-17,32;-0,50;31,40
0,866441;-26,13;-17,20;-0,61;31,29
0,886452;-26,32;-17,35;-0,41;31,53
0,906049;-26,36;-17,35;-0,59;31,56
0,926610;-26,11;-17,34;-0,71;31,35
0,947323;-26,19;-17,15;-0,93;31,32
0,967504;-26,19;-17,28;-0,97;31,39
0,986768;-26,26;-17,50;-1,27;31,59
1,007100;-25,96;-17,35;-1,12;31,25
1,027959;-25,76;-17,34;-0,91;31,06
1,047575;-25,63;-17,34;-1,04;30,96
1,068627;-25,63;-17,20;-0,95;30,88
1,087865;-25,74;-17,09;-0,89;30,91
1,107163;-25,57;-17,02;-0,80;30,73
1,129118;-25,55;-16,87;-0,65;30,62
1,148718;-25,53;-16,79;-0,33;30,56
1,169111;-25,38;-16,90;-0,31;30,50
1,189236;-25,21;-17,11;-0,31;30,47
1,209173;-25,10;-16,90;-0,07;30,26
1,229313;-25,16;-16,85;-0,10;30,28
1,249522;-25,29;-17,11;-0,24;30,53
1,269570;-25,61;-17,07;0,08;30,78
1,289806;-25,50;-16,96;0,14;30,62
1,308695;-25,70;-16,87;0,38;30,74
1,329284;-25,83;-16,74;0,57;30,79
1,349253;-26,19;-16,60;0,83;31,02
1,369584;-26,19;-16,44;0,70;30,93
1,390841;-26,13;-16,62;0,78;30,98
1,411727;-26,11;-16,42;0,85;30,86
1,430276;-25,87;-16,40;0,64;30,64
1,449921;-26,15;-16,60;0,42;30,98
1,470084;-25,93;-16,74;0,12;30,86
1,491730;-25,87;-16,62;-0,05;30,75
1,512511;-25,78;-16,75;-0,27;30,74
1,530488;-25,78;-16,98;-0,46;30,87
1,550833;-25,81;-16,81;-0,52;30,81
1,571005;-25,81;-16,81;-0,48;30,81
1,591751;-25,81;-16,81;-0,42;30,81
1,612149;-25,55;-16,81;-0,22;30,59
1,632155;-25,57;-16,60;-0,16;30,49
1,651495;-25,65;-16,87;-0,20;30,70
1,672317;-25,70;-16,94;-0,26;30,78
1,692563;-25,76;-17,11;-0,29;30,92
1,712666;-25,66;-17,07;-0,16;30,82
1,732544;-25,91;-17,09;-0,27;31,04
1,752698;-25,95;-17,13;-0,50;31,09
1,772724;-26,04;-17,00;-0,54;31,10
1,792676;-26,11;-17,15;-0,46;31,24
1,812786;-26,13;-16,90;-0,48;31,13
1,833064;-26,04;-16,79;-0,39;30,99
1,852992;-26,25;-16,75;-0,39;31,14
1,873342;-26,62;-16,96;-0,54;31,57
1,894255;-26,26;-17,02;-0,41;31,30
