time;Bx;By;Bz;BT
0,005024;-22,20;-60,76;29,73;71,19
0,011229;-22,12;-60,87;29,84;71,31
0,039922;-22,20;-60,54;29,76;71,01
0,051243;-22,38;-60,42;30,01;71,08
0,071947;-22,21;-60,63;30,34;71,35
0,092202;-21,93;-60,69;30,36;71,31
0,112038;-22,05;-60,40;30,78;71,29
0,142736;-22,31;-60,10;30,68;71,07
0,152239;-22,46;-60,09;30,35;70,96
0,172817;-22,55;-60,09;30,38;71,01
0,192840;-22,57;-60,46;30,46;71,36
0,213266;-22,63;-60,59;30,20;71,38
0,242223;-22,96;-60,61;29,86;71,36
0,253132;-23,00;-60,39;29,91;71,21
0,273638;-22,89;-60,44;29,90;71,21
0,293250;-22,70;-60,59;29,88;71,27
0,313621;-22,68;-60,91;30,08;71,62
0,343100;-22,83;-60,87;29,93;71,57
0,353587;-22,87;-60,74;30,06;71,53
0,373923;-22,76;-60,59;30,05;71,36
0,393933;-22,83;-60,40;30,20;71,29
0,414124;-22,80;-60,63;30,27;71,50
0,433893;-22,87;-60,70;29,90;71,43
0,454846;-22,98;-60,59;29,75;71,30
0,475130;-22,87;-60,54;29,76;71,23
0,494419;-22,53;-60,57;29,88;71,20
0,515332;-22,48;-60,59;29,76;71,15
0,535287;-22,42;-60,52;29,80;71,08
0,555602;-22,05;-60,63;29,78;71,06
0,575526;-22,05;-60,54;29,74;70,96
0,595589;-21,88;-60,55;30,04;71,05
0,615383;-21,84;-60,54;30,38;71,17
0,637372;-22,06;-60,27;30,44;71,04
0,656033;-22,44;-60,29;30,42;71,16
0,676384;-22,38;-60,35;30,46;71,21
0,696966;-22,20;-60,40;30,66;71,29
0,717847;-22,50;-60,54;30,85;71,57
0,739149;-22,53;-60,54;30,94;71,62
0,756430;-22,57;-60,55;30,83;71,60
0,777538;-22,53;-60,78;30,42;71,60
0,797312;-22,55;-60,97;30,31;71,72
0,817692;-22,18;-61,08;30,42;71,75
0,837064;-22,42;-60,97;30,27;71,67
0,857286;-22,53;-60,85;30,06;71,52
0,877397;-22,48;-60,74;29,86;71,32
0,898280;-22,48;-60,80;29,99;71,42
0,918830;-22,65;-60,76;30,06;71,47
0,940433;-22,80;-60,69;30,23;71,53
0,958324;-22,68;-60,63;30,29;71,47
0,978268;-22,93;-60,42;30,05;71,27
0,998873;-22,93;-60,59;30,27;71,51
1,019274;-22,74;-60,72;30,33;71,58
1,039027;-22,91;-60,67;30,55;71,68
1,059308;-22,89;-60,95;30,35;71,83
1,078947;-22,74;-60,80;30,33;71,65
1,098891;-22,70;-60,85;30,40;71,71
1,119434;-22,80;-60,76;30,40;71,66
1,139347;-22,91;-60,87;30,55;71,86
1,159949;-22,70;-60,87;30,42;71,74
1,180434;-22,93;-60,80;30,42;71,75
1,200253;-22,80;-60,80;30,42;71,70
1,220033;-22,80;-60,57;30,81;71,68
1,241322;-22,95;-60,69;30,80;71,82
1,261022;-22,91;-60,59;30,53;71,61
1,280320;-22,78;-60,59;30,40;71,51
1,300472;-22,80;-60,39;30,33;71,31
1,322875;-22,74;-60,16;30,27;71,08
1,341380;-22,74;-60,07;29,95;70,87
1,361855;-22,59;-59,95;29,84;70,68
