time;Bx;By;Bz;BT
0,002561;-1,55;-51,29;76,68;92,26
0,025767;-1,35;-51,18;76,51;92,06
0,035882;-1,06;-50,95;76,13;91,62
0,055964;-0,99;-50,97;76,06;91,56
0,075820;-0,86;-50,97;76,23;91,70
0,096515;-0,61;-50,86;76,17;91,59
0,117049;-0,15;-50,67;76,15;91,47
0,137764;0,17;-50,65;76,23;91,52
0,157072;-0,13;-50,77;76,17;91,54
0,176496;-0,50;-50,80;76,47;91,81
0,197324;-0,67;-50,97;76,60;92,01
0,217555;-0,45;-51,10;76,43;91,94
0,237658;-0,54;-51,14;76,36;91,90
0,257618;-0,39;-51,25;76,28;91,90
0,277759;-0,30;-51,10;76,30;91,83
0,297371;-0,56;-50,94;76,34;91,77
0,318368;-0,48;-50,82;76,36;91,73
0,337734;-0,33;-50,79;76,19;91,56
0,358406;-0,43;-50,82;76,32;91,69
0,378355;-0,65;-50,69;76,40;91,69
0,397919;-0,45;-50,58;76,51;91,72
0,418421;-0,48;-50,22;76,51;91,52
0,438840;-0,69;-50,48;76,38;91,56
0,459230;-0,56;-50,52;76,25;91,47
0,478882;-0,41;-50,37;76,23;91,37
0,499207;-0,20;-50,35;76,30;91,42
0,519090;-0,15;-50,17;76,28;91,30
0,539762;0,10;-50,15;76,19;91,21
0,559851;0,10;-50,07;76,10;91,09
0,578928;0,38;-50,28;76,11;91,22
0,599393;0,55;-50,05;76,15;91,13
0,619555;0,70;-50,13;76,04;91,08
0,639935;0,66;-50,34;75,98;91,15
0,660513;0,45;-50,35;76,04;91,20
0,680595;0,57;-50,64;76,11;91,42
0,701868;0,77;-50,88;75,95;91,42
0,722462;0,74;-51,09;75,91;91,50
0,741018;0,47;-51,31;75,74;91,48
0,760998;0,45;-51,29;75,85;91,57
0,781729;0,49;-51,27;76,06;91,73
0,800584;0,49;-51,14;76,15;91,73
0,820887;0,47;-51,12;76,06;91,64
0,841123;0,25;-50,86;75,83;91,31
0,861433;0,06;-50,77;76,15;91,52
0,882185;0,19;-50,64;76,10;91,40
0,901728;0,17;-50,52;76,34;91,54
0,922675;0,15;-50,54;76,45;91,65
0,942993;-0,22;-50,73;76,30;91,63
0,962781;-0,30;-50,97;76,19;91,67
0,983727;-0,15;-50,86;76,28;91,68
1,003103;-0,05;-51,09;76,23;91,76
1,023640;0,04;-50,79;76,10;91,49
1,043714;-0,09;-50,75;76,32;91,65
1,063032;-0,13;-50,67;76,43;91,70
1,083676;-0,05;-50,54;76,21;91,44
1,103864;0,21;-50,37;76,51;91,60
1,124206;-0,01;-50,24;76,64;91,64
1,143386;-0,16;-50,45;76,49;91,63
1,163844;-0,03;-50,19;76,85;91,78
1,191495;-0,22;-50,62;76,85;92,02
1,204311;-0,16;-50,94;76,70;92,07
1,223950;-0,05;-50,84;76,68;92,00
1,244005;-0,13;-51,07;76,77;92,20
