time;Bx;By;Bz;BT
0,009252;-53,53;-54,35;43,49;87,81
0,025563;-54,60;-53,95;41,99;87,49
0,045561;-53,83;-53,28;38,71;85,05
0,066027;-52,85;-53,67;38,65;84,66
0,086210;-53,34;-54,65;41,76;87,04
0,106269;-54,01;-54,48;43,55;88,21
0,126440;-54,82;-53,90;41,56;87,39
0,146404;-54,15;-53,34;38,61;85,25
0,166638;-53,26;-53,82;39,10;85,22
0,188800;-53,40;-54,74;41,91;87,20
0,207913;-54,54;-54,46;43,15;88,33
0,227415;-55,03;-53,58;40,66;86,90
0,247657;-53,83;-53,39;38,15;84,87
0,267373;-53,32;-54,22;39,59;85,73
0,287541;-53,83;-54,80;42,91;87,98
0,307353;-54,86;-54,80;43,43;88,87
0,328325;-54,82;-53,88;40,32;86,80
0,348903;-53,71;-53,65;38,75;85,24
0,368362;-53,00;-54,63;40,71;86,32
0,391361;-53,62;-55,19;43,83;88,56
0,409174;-54,50;-54,54;43,43;88,49
0,428171;-54,16;-53,54;40,28;86,16
0,448066;-53,04;-53,58;38,67;84,73
0,469081;-52,59;-54,33;41,39;86,20
0,489872;-53,68;-54,80;44,22;88,54
0,510128;-54,52;-54,27;43,17;88,21
0,529935;-54,00;-53,58;40,15;86,01
0,550144;-53,11;-53,80;39,33;85,22
0,569366;-53,08;-54,59;42,33;87,11
0,591574;-54,26;-54,57;44,33;88,81
0,610213;-55,08;-54,20;42,78;88,33
0,629782;-54,46;-53,41;39,44;85,87
0,649929;-53,51;-53,82;39,46;85,54
0,670032;-53,86;-54,61;42,74;87,81
0,690820;-54,78;-54,52;44,18;89,02
0,711686;-55,14;-53,99;41,80;87,77
0,731759;-54,39;-53,60;38,99;85,74
0,751154;-53,43;-54,24;39,93;85,97
0,770504;-53,83;-54,85;43,40;88,26
0,791295;-54,60;-54,74;44,22;89,07
0,811019;-54,50;-53,64;41,37;86,94
0,831032;-53,66;-53,37;39,05;85,16
0,851587;-52,83;-53,86;40,68;85,71
0,871488;-53,68;-54,09;44,07;88,03
0,891983;-54,52;-53,92;44,15;88,48
0,912550;-54,30;-53,07;41,20;86,38
0,932502;-53,26;-52,87;39,33;84,73
0,952160;-52,83;-53,56;41,56;85,95
0,972322;-53,83;-53,84;44,75;88,31
0,992738;-54,46;-53,50;43,88;88,06
1,013135;-54,31;-52,83;40,62;85,97
1,033175;-53,04;-53,15;39,44;84,81
1,053358;-52,89;-54,01;42,20;86,57
1,073271;-53,98;-54,25;44,50;88,53
1,092901;-54,61;-53,71;43,17;87,93
1,113108;-53,96;-53,07;40,04;85,62
1,133618;-53,10;-53,67;39,70;85,30
1,154490;-53,11;-54,57;42,98;87,45
1,173539;-54,13;-54,61;44,76;88,97
1,195372;-54,84;-53,86;42,80;87,98
1,213913;-53,94;-53,41;39,85;85,73
1,234753;-53,08;-54,01;40,45;85,85
1,261421;-53,49;-54,99;43,68;88,27
1,276085;-54,88;-54,91;44,95;89,71
1,295699;-55,12;-54,14;42,29;88,08
1,314845;-54,24;-53,71;39,44;85,92
1,334726;-53,43;-54,18;40,55;86,22
1,355917;-53,96;-54,93;43,75;88,56
1,375691;-54,90;-54,46;43,96;88,95
1,397183;-54,84;-53,30;41,03;86,79
1,415175;-53,85;-53,33;38,86;85,17
1,435527;-52,87;-53,86;40,79;85,79
1,456264;-53,79;-54,10;43,68;87,91
1,478543;-54,63;-53,67;43,55;88,10
1,496035;-54,58;-52,96;40,45;86,14
1,516664;-53,43;-53,28;38,78;84,84
1,536624;-53,17;-54,10;41,33;86,39
1,557072;-54,11;-54,69;43,81;88,53
1,576928;-54,86;-53,94;42,80;88,03
1,603561;-54,31;-53,35;39,59;85,81
1,617916;-53,13;-53,73;38,82;84,95
1,640801;-52,95;-54,87;41,63;86,88
1,658837;-53,77;-55,00;44,03;88,63
1,677333;-54,60;-54,18;42,74;87,99
1,699348;-53,79;-53,82;39,93;85,93
1,718966;-53,15;-54,03;40,00;85,70
1,737772;-53,53;-55,10;43,25;88,15
1,758103;-54,69;-54,97;44,73;89,51
1,778709;-55,33;-54,29;42,46;88,38
1,798709;-54,58;-53,88;39,59;86,31
1,818604;-53,56;-54,31;40,17;86,21
1,838556;-53,94;-54,95;43,13;88,26
1,859449;-54,86;-54,57;43,77;88,90
1,878894;-54,75;-53,71;41,28;87,10
1,899416;-53,53;-53,30;38,65;84,85
1,919165;-52,78;-53,95;40,06;85,45
1,939489;-53,32;-54,48;43,53;87,78
1,960613;-54,07;-53,95;43,75;88,03
1,979372;-54,31;-53,05;40,86;86,22
2,012337;-53,15;-53,19;39,03;84,72
2,019986;-52,66;-53,94;41,14;85,88
2,040389;-53,56;-54,29;43,66;87,88
2,064207;-54,37;-53,71;43,26;87,82
2,080257;-54,28;-52,89;40,28;85,82
2,100900;-52,95;-53,19;39,10;84,62
2,120978;-52,93;-54,31;41,67;86,53
2,141581;-53,73;-54,57;44,15;88,40
2,162758;-54,73;-53,90;43,02;88,04
2,182788;-54,22;-53,39;39,96;85,95
2,201394;-53,21;-53,99;39,89;85,66
2,221737;-53,32;-55,02;42,78;87,75
2,242671;-53,98;-55,10;44,80;89,20
2,263113;-54,86;-54,40;42,61;88,23
2,283232;-54,05;-53,54;39,74;85,83
2,302705;-53,34;-53,86;40,13;85,77
2,322559;-53,49;-54,87;43,38;88,05
2,342679;-54,61;-54,33;44,63;89,03
2,364586;-55,08;-53,34;41,99;87,42
2,382787;-54,15;-52,90;39,48;85,38
2,412533;-53,70;-53,41;40,55;85,91
2,423367;-54,31;-54,01;44,01;88,34
2,448931;-55,20;-53,75;44,54;88,99
2,463540;-55,01;-52,94;41,59;86,94
2,482913;-53,90;-52,68;39,18;84,94
2,503137;-53,10;-53,50;40,84;85,73
2,524106;-53,86;-54,24;44,24;88,32
2,549482;-54,71;-53,94;43,94;88,50
2,563845;-54,39;-53,15;40,70;86,25
2,583048;-53,13;-53,09;38,95;84,61
2,603577;-52,81;-54,07;41,15;86,06
2,624194;-54,05;-54,38;44,13;88,47
2,647837;-55,16;-54,12;43,34;88,60
2,664911;-54,80;-53,60;40,26;86,59
2,685203;-53,66;-53,67;38,95;85,31
2,705304;-53,60;-54,70;41,99;87,34
2,725255;-54,58;-54,93;44,22;89,17
2,749014;-55,46;-54,57;42,61;88,71
2,765796;-54,69;-53,90;39,65;86,42
2,785887;-53,58;-54,52;39,25;85,93
2,806460;-53,58;-55,21;42,42;87,86
2,825346;-54,48;-55,17;44,18;89,24
2,846859;-55,25;-54,27;42,31;88,25
2,867103;-54,39;-53,64;39,35;85,92
2,885911;-53,53;-54,18;40,04;86,04
2,906046;-53,94;-54,82;43,53;88,37
2,926449;-55,06;-54,74;44,43;89,46
2,947694;-55,48;-53,64;41,91;87,81
2,967273;-54,26;-53,35;39,61;85,79
2,986588;-53,49;-54,01;40,83;86,28
3,007287;-53,81;-54,76;44,00;88,48
3,027490;-54,58;-54,52;44,11;88,86
3,050573;-54,69;-53,49;41,13;86,85
3,068326;-53,43;-53,47;39,08;85,10
3,087728;-52,85;-54,05;41,24;86,11
3,107981;-53,62;-54,69;44,16;88,41
3,128109;-54,76;-54,20;43,41;88,44
3,149881;-54,61;-53,17;40,49;86,31
3,168430;-53,62;-53,45;39,23;85,27
3,187849;-53,53;-54,37;41,91;87,05
3,208961;-54,33;-54,61;44,41;88,92
3,228626;-54,97;-54,14;43,25;88,45
3,251043;-54,03;-53,80;39,93;86,07
3,268980;-52,85;-54,05;39,51;85,30
