time;Bx;By;Bz;BT
0,004399;25,34;3,98;-7,32;26,67
0,021485;22,67;3,42;-8,84;24,58
0,042142;21,36;2,91;-7,85;22,94
0,062635;23,01;2,80;-5,77;23,89
0,084889;25,19;3,36;-5,37;25,97
0,103683;24,53;3,76;-7,17;25,83
0,123054;21,92;3,57;-8,37;23,74
0,143136;21,02;3,33;-7,16;22,46
0,162617;23,33;3,46;-5,36;24,18
0,183699;25,35;3,78;-5,43;26,20
0,205882;24,23;3,89;-7,57;25,68
0,223603;21,74;3,48;-8,37;23,55
0,243970;21,53;3,16;-6,69;22,76
0,264050;24,14;3,16;-5,02;24,85
0,284614;25,73;3,52;-5,90;26,63
0,303997;24,42;3,14;-8,07;25,91
0,324112;22,13;2,58;-8,28;23,77
0,344582;22,64;2,63;-6,46;23,69
0,364795;25,07;2,90;-4,89;25,71
0,385163;26,07;3,14;-6,14;26,96
0,407120;24,08;3,18;-8,30;25,67
0,425188;22,02;2,84;-8,19;23,66
0,445284;22,92;2,95;-6,05;23,89
0,465939;25,34;3,63;-4,92;26,06
0,486145;25,62;3,83;-6,56;26,72
0,505953;23,48;3,59;-8,30;25,16
0,527442;21,77;3,12;-7,74;23,32
0,546507;23,12;3,40;-5,56;24,02
0,565502;25,50;3,76;-4,89;26,24
0,585960;25,26;4,17;-6,67;26,46
0,606472;22,77;3,66;-8,19;24,47
0,627160;21,70;3,01;-7,27;23,08
0,647282;23,59;3,16;-5,19;24,36
0,666640;25,37;3,50;-5,30;26,16
0,686926;24,74;3,80;-7,47;26,12
0,707874;22,20;3,44;-8,71;24,10
0,727626;21,79;3,01;-7,34;23,19
0,747166;24,04;2,95;-5,43;24,82
0,766971;25,64;3,38;-5,77;26,49
0,787424;24,40;3,51;-7,79;25,85
0,809258;22,04;3,18;-8,30;23,76
0,827874;22,09;3,01;-6,31;23,17
0,848020;24,60;3,01;-4,77;25,24
0,868802;25,80;3,40;-5,60;26,62
0,889480;23,70;3,25;-7,85;25,18
0,909450;21,42;2,84;-8,19;23,10
0,929050;21,98;2,76;-6,22;23,01
0,950958;24,42;3,16;-5,17;25,16
0,969396;25,11;3,61;-6,61;26,22
0,989124;22,90;3,42;-8,64;24,71
1,009048;21,04;3,01;-8,37;22,85
1,028919;22,22;3,03;-6,11;23,24
1,051850;24,87;3,51;-5,19;25,64
1,069732;25,13;3,91;-6,76;26,32
1,089678;22,75;3,46;-8,39;24,49
1,113017;21,49;2,95;-7,44;22,93
1,130848;23,10;3,06;-5,32;23,91
1,150564;25,60;3,44;-4,94;26,30
1,171321;25,07;3,85;-6,61;26,22
1,191045;22,45;3,38;-8,07;24,10
1,211937;21,68;2,97;-6,78;22,91
1,231619;23,72;3,18;-4,98;24,45
