time;gain
0,519;52,09
0,631;53,11
0,744;51,45
0,851;62,34
0,963;52,32
1,074;50,32
1,186;51,49
1,298;50,02
1,410;49,28
1,517;49,30
1,628;63,73
1,741;66,16
1,849;67,16
1,959;60,62
2,069;67,00
2,180;53,55
2,291;49,46
2,399;50,81
2,511;50,54
2,621;48,68
2,733;48,54
2,846;56,55
2,956;65,78
3,064;66,75
3,173;54,91
3,285;54,49
3,389;55,66
3,501;54,56
3,613;50,75
3,725;49,52
3,828;49,41
3,941;48,10
4,052;47,67
4,163;53,30
4,268;52,36
4,379;57,21
4,490;55,20
4,602;56,92
4,709;56,04
4,822;54,33
4,928;52,85
5,032;48,78
5,144;48,77
5,247;50,38
5,356;50,59
5,466;50,01
5,577;50,04
5,690;52,71
5,802;55,24
5,913;53,45
6,025;52,49
6,131;52,19
6,239;55,29
6,347;55,22
6,455;52,11
6,564;49,45
6,675;47,81
6,786;49,25
6,889;49,07
7,001;46,93
7,113;50,89
7,226;50,31
7,333;51,51
7,444;49,75
7,548;52,02
7,659;57,90
7,768;57,58
7,873;54,79
7,987;57,13
8,099;59,20
8,212;54,45
8,322;57,35
8,432;58,89
8,544;58,51
8,653;55,66
8,755;49,86
8,866;58,16
8,976;51,97
9,078;48,69
9,191;47,62
9,303;49,95
9,405;51,42
9,513;49,14
9,624;54,74
9,736;52,66
9,840;53,49
9,952;52,53
10,062;23,51
10,173;54,00
10,280;53,87
10,393;51,56
10,506;48,82
10,608;49,99
10,720;50,64
10,832;58,50
10,944;61,32
11,055;61,46
11,167;50,27
11,279;55,89
11,390;51,26
11,504;51,55
11,616;48,38
11,728;46,40
11,839;47,73
11,951;48,25
12,063;53,32
12,167;49,54
12,276;52,30
12,387;58,49
12,496;57,91
12,608;58,59
12,720;54,85
12,832;56,88
12,943;52,98
13,046;56,23
13,158;53,35
13,270;54,30
13,379;49,43
13,491;55,01
13,602;55,87
13,714;53,97
13,827;56,23
13,929;54,69
14,034;52,80
14,146;53,01
14,257;52,69
14,359;52,66
14,471;49,66
14,582;47,82
14,693;49,07
14,801;49,90
14,909;48,93
15,018;54,20
15,130;53,36
15,242;54,08
15,352;55,04
15,465;52,80
15,576;51,83
15,689;51,18
15,800;52,48
15,909;53,85
16,020;52,42
16,130;51,09
16,242;50,85
16,345;51,97
16,457;54,29
16,565;56,96
16,673;53,50
16,784;52,97
16,896;49,40
17,007;52,22
17,119;54,42
17,225;52,58
17,337;55,16
17,446;55,97
17,557;56,66
17,668;54,55
17,779;51,21
17,891;49,16
18,002;51,76
18,113;48,30
18,224;50,20
18,332;52,05
18,444;48,23
18,557;50,49
18,666;51,33
18,778;49,34
18,889;51,21
19,001;52,83
19,102;58,13
19,215;52,91
19,326;56,01
19,436;55,11
19,548;54,61
19,660;55,37
19,771;57,69
19,879;61,13
19,981;59,60
20,082;53,95
20,193;56,97
20,306;52,11
20,417;49,70
20,520;50,91
20,632;47,94
20,745;49,80
20,856;51,35
20,968;51,19
21,079;51,89
21,191;56,02
21,303;54,23
21,409;54,59
21,521;53,46
21,628;52,63
21,739;48,57
21,851;49,26
21,965;50,12
22,069;52,30
22,181;52,24
22,286;50,53
22,398;48,35
22,509;48,26
22,621;47,18
22,732;52,71
22,844;48,55
22,956;49,04
23,065;50,46
23,177;51,11
23,288;50,58
23,390;50,80
23,501;50,30
23,612;48,07
23,725;52,64
23,830;50,66
23,941;49,53
24,053;48,88
24,158;50,37
24,269;50,47
24,381;50,88
24,493;48,61
24,602;49,52
24,709;51,57
24,819;48,76
24,927;49,74
25,039;48,92
25,146;44,62
25,257;53,66
25,370;50,38
25,480;49,84
25,590;49,82
25,693;50,19
25,804;50,91
25,913;49,92
26,025;48,49
26,137;49,44
26,249;49,26
26,361;51,87
26,472;52,57
26,586;55,36
26,698;53,05
26,806;50,68
26,909;52,69
27,016;47,80
27,128;50,45
27,239;47,57
27,346;47,84
27,457;40,03
27,569;49,00
27,679;49,21
27,791;47,45
27,900;47,88
28,011;48,60
28,123;47,76
28,234;47,78
28,346;50,53
28,455;51,43
28,565;47,62
28,676;50,75
28,788;51,58
28,899;55,67
29,011;56,76
29,123;60,75
29,234;58,67
29,345;55,20
29,455;58,07
29,566;55,91
29,678;52,01
29,789;53,46
29,899;54,61
30,010;53,98
30,122;52,66
30,223;52,26
30,334;58,00
30,446;55,14
30,556;55,47
30,660;50,38
30,762;54,83
30,873;54,17
30,985;52,55
31,096;53,88
31,207;53,67
31,310;54,40
31,423;54,61
31,528;52,28
31,639;50,56
31,750;52,46
31,862;49,05
31,973;48,88
32,085;32,38
32,196;51,82
32,306;54,98
32,417;52,92
32,529;49,82
32,639;50,92
32,747;48,53
32,859;50,14
32,971;51,26
33,082;47,36
33,189;54,27
33,300;56,12
33,409;53,84
33,515;56,32
33,627;49,28
33,739;46,45
33,851;49,25
33,962;52,91
34,066;59,82
34,175;47,72
34,284;52,26
34,396;44,20
34,502;51,18
34,612;49,09
34,723;52,43
34,835;49,52
34,947;51,80
35,056;50,77
35,167;56,00
35,279;52,21
35,392;50,79
35,502;51,66
35,613;49,81
35,720;49,19
35,832;49,93
35,943;47,36
36,054;49,97
36,166;48,49
36,278;49,63
36,390;49,63
36,501;50,90
36,613;48,97
36,724;47,18
36,832;47,72
36,942;48,43
37,053;50,03
37,160;50,47
37,271;48,98
37,383;48,69
37,494;48,30
37,606;48,83
37,708;49,74
37,820;47,95
37,932;47,86
38,042;47,91
38,154;49,83
38,261;49,60
38,372;50,81
38,484;49,98
38,593;50,48
38,705;46,71
38,816;51,03
38,927;49,07
39,038;48,37
39,146;47,92
39,258;47,09
39,364;46,75
39,472;47,54
39,581;49,04
39,689;49,81
39,799;48,11
39,910;47,44
40,014;50,09
40,123;45,96
40,232;50,88
40,343;53,67
40,453;52,35
40,565;54,53
40,676;59,25
40,783;57,91
40,894;58,58
41,006;54,24
41,117;50,32
41,229;53,03
41,340;56,29
41,451;53,13
41,563;55,98
41,672;55,65
41,784;51,64
41,895;49,98
42,003;50,90
42,114;56,48
42,221;50,81
42,332;49,53
42,443;57,62
42,554;55,25
42,665;49,19
42,777;52,14
42,889;50,91
43,001;52,37
43,113;50,24
43,222;53,48
43,334;56,99
43,440;51,70
43,552;51,34
43,662;51,29
43,774;50,06
43,886;52,53
43,991;52,38
44,103;52,67
44,214;51,42
44,325;48,18
44,436;51,17
44,543;27,07
44,654;49,04
44,766;50,22
44,876;53,29
44,986;53,40
45,094;50,95
45,202;45,52
45,311;46,80
45,423;50,11
45,529;48,53
45,639;47,60
45,746;50,75
45,856;47,17
45,967;48,74
46,079;46,00
46,191;47,29
46,303;50,15
46,414;50,53
46,526;49,44
46,631;53,86
46,743;54,25
46,855;48,47
46,965;47,93
47,076;48,79
47,189;48,89
47,300;47,30
47,411;48,24
47,517;52,89
47,628;51,51
47,739;54,87
47,850;52,63
47,962;57,39
48,064;56,18
48,175;52,48
48,285;53,04
48,396;53,35
48,508;55,68
48,620;54,34
48,725;58,20
48,836;52,67
48,946;46,50
49,056;47,36
49,168;46,43
49,269;49,82
49,371;30,78
49,483;52,93
49,589;54,90
49,700;53,80
49,813;55,44
49,925;54,58
50,029;54,09
50,141;54,90
50,252;54,78
50,363;55,99
50,475;52,78
50,581;59,39
50,691;50,79
50,802;54,18
50,914;51,24
51,025;52,99
51,136;53,06
51,244;51,16
51,352;48,82
51,464;45,78
51,575;46,69
51,686;49,09
51,798;49,24
51,904;50,06
52,016;48,93
52,127;47,00
52,236;49,11
52,345;56,68
52,456;51,62
52,567;55,04
52,678;56,47
52,790;53,10
52,899;56,14
53,011;55,32
53,114;55,95
53,227;56,60
53,336;54,48
53,447;54,02
53,559;50,51
53,669;50,87
53,781;55,35
53,892;52,37
54,006;46,30
54,116;47,10
54,219;49,66
54,330;46,56
54,442;48,95
54,545;51,21
54,657;47,42
54,768;49,33
54,879;49,42
54,982;46,27
55,085;51,89
55,196;57,63
55,301;50,00
55,409;53,60
55,520;53,50
55,627;50,89
55,739;49,33
55,851;49,50
55,954;55,15
56,065;57,75
56,176;51,73
56,287;49,70
56,388;49,86
56,499;46,30
56,606;47,53
56,718;48,93
56,832;49,19
56,941;50,61
57,049;53,04
57,161;58,69
57,274;62,30
57,386;57,72
57,497;55,21
57,609;55,94
57,719;58,85
57,830;53,86
57,939;51,40
58,049;54,97
58,159;56,05
58,269;51,77
58,380;53,85
58,492;55,60
58,604;55,91
58,716;51,75
58,817;50,07
58,928;48,34
59,039;48,96
59,145;48,51
59,258;49,10
59,369;46,28
59,481;47,58
59,585;49,54
59,696;50,16
59,807;50,36
59,914;53,89
60,015;52,32
60,124;58,56
60,232;56,02
60,342;57,39
60,450;61,34
60,563;64,03
60,674;59,00
60,782;54,07
60,893;57,19
61,000;56,45
61,111;59,65
61,217;59,20
61,329;56,09
61,441;57,41
61,552;55,48
61,663;54,90
61,773;57,32
61,886;52,85
61,990;54,88
62,101;53,96
62,209;52,02
62,321;53,40
62,433;56,93
62,545;53,72
62,654;49,41
62,764;48,31
62,872;50,72
62,984;51,58
63,092;51,93
63,199;49,42
63,310;52,47
63,419;51,41
63,531;50,38
63,640;54,50
63,743;39,65
63,854;51,48
63,966;54,62
64,077;53,70
64,188;54,82
64,299;55,49
64,410;52,93
64,521;51,68
64,632;50,19
64,739;49,61
64,851;48,90
64,962;47,78
65,074;48,76
65,185;46,57
65,296;46,43
65,406;48,99
65,518;47,23
65,627;48,73
65,738;48,63
65,846;47,46
65,956;48,50
66,065;49,06
66,176;47,69
66,288;47,93
66,400;50,84
66,509;50,36
66,621;53,30
66,732;49,67
66,839;55,56
66,951;51,62
67,058;55,84
67,169;52,54
67,279;58,12
67,389;53,20
67,498;56,37
67,602;59,27
67,709;59,86
67,819;54,61
67,931;50,78
68,035;49,69
68,146;48,99
68,257;47,67
68,364;54,30
68,473;50,12
68,585;57,72
68,695;58,92
68,807;79,67
68,916;58,29
69,020;57,23
69,126;54,95
