time;gain
0,114;52,34
0,218;47,32
0,322;47,89
0,433;51,08
0,544;61,73
0,650;62,64
0,762;47,44
0,868;54,99
0,979;46,76
1,090;50,04
1,200;44,72
1,312;50,18
1,423;45,77
1,533;43,97
1,644;46,08
1,756;44,43
1,867;44,93
1,978;44,15
2,089;45,43
2,200;44,45
2,311;44,13
2,423;44,72
2,529;43,94
2,641;42,60
2,744;45,35
2,855;44,77
2,958;46,39
3,069;49,22
3,180;48,65
3,285;47,71
3,393;48,07
3,503;45,67
3,615;49,01
3,726;48,50
3,838;45,61
3,949;45,88
4,051;45,35
4,162;48,25
4,274;50,52
4,378;49,90
4,487;48,98
4,596;45,26
4,708;46,41
4,813;49,24
4,924;50,69
5,030;47,07
5,140;47,27
5,247;44,54
5,356;47,15
5,469;44,90
5,580;47,17
5,690;47,25
5,801;46,56
5,912;45,60
6,019;56,45
6,130;47,58
6,241;53,87
6,347;46,71
6,458;58,28
6,568;47,59
6,679;45,12
6,791;49,94
6,900;47,28
7,010;46,64
7,123;49,83
7,234;47,97
7,346;46,98
7,453;50,30
7,565;47,28
7,666;41,87
7,777;59,21
7,889;57,99
8,002;47,58
8,104;53,21
8,215;44,02
8,327;44,85
8,438;45,92
8,549;47,66
8,660;55,34
8,770;55,03
8,873;62,23
8,984;53,43
9,095;49,77
9,205;57,32
9,308;48,65
9,419;51,75
9,524;59,10
9,626;58,09
9,737;76,33
9,849;53,17
9,960;48,65
10,072;49,69
10,183;51,99
10,294;49,66
10,403;54,20
10,513;63,88
10,620;66,63
10,727;48,94
10,839;45,50
10,950;47,95
11,061;48,11
11,171;49,99
11,282;53,75
11,393;49,10
11,496;45,50
11,607;46,98
11,718;48,90
11,826;50,69
11,936;49,24
12,044;46,71
12,146;47,92
12,257;48,33
12,368;47,88
12,480;45,39
12,582;40,30
12,693;48,08
12,804;50,82
12,913;48,44
13,024;50,03
13,134;49,38
13,245;46,79
13,356;47,17
13,468;52,22
13,579;52,59
13,681;53,26
13,790;54,65
13,901;54,40
14,003;53,45
14,114;50,90
14,226;53,80
14,335;59,41
14,446;58,48
14,557;52,64
