time;Bx;By;Bz;BT
0,005273;6,85;15,78;-27,37;32,32
0,024264;6,74;15,70;-27,35;32,25
0,043808;6,83;15,78;-27,35;32,30
0,063361;6,87;15,89;-27,41;32,41
0,083633;7,09;15,66;-27,37;32,32
0,107084;6,85;15,55;-27,39;32,23
0,125153;6,77;15,55;-27,33;32,17
0,144994;6,66;15,27;-27,18;31,88
0,164611;6,70;15,31;-27,18;31,91
0,184703;6,60;15,36;-27,14;31,88
0,205333;6,75;15,44;-27,22;32,01
0,225350;6,60;15,31;-27,26;31,95
0,245805;6,42;15,61;-27,33;32,12
0,265455;6,55;15,61;-27,37;32,18
0,285588;6,59;15,44;-27,20;31,96
0,306378;6,47;15,81;-27,14;32,07
0,325658;6,34;15,65;-27,27;32,08
0,345823;6,38;15,89;-27,39;32,30
0,366320;6,25;15,76;-27,35;32,18
0,386205;6,66;15,89;-27,27;32,26
0,406350;6,49;15,72;-27,20;32,08
0,427224;6,44;15,70;-27,44;32,27
0,446454;6,66;15,78;-27,80;32,65
0,466721;6,77;15,74;-28,04;32,86
0,486520;6,96;15,57;-27,95;32,74
0,511046;6,90;15,38;-28,08;32,75
0,527867;6,85;15,38;-28,08;32,74
0,546625;6,62;15,42;-28,08;32,71
0,567369;6,77;15,31;-28,27;32,85
0,587250;6,87;15,38;-28,16;32,81
0,607679;6,66;15,36;-28,04;32,66
0,627593;6,81;15,27;-27,84;32,47
0,647883;6,51;15,55;-27,78;32,50
0,668854;6,64;15,42;-27,69;32,38
0,687614;6,53;15,57;-27,65;32,40
0,708808;6,49;15,27;-27,72;32,31
0,728756;6,64;15,38;-27,57;32,27
0,748817;6,36;15,63;-27,56;32,31
0,769509;6,60;15,70;-27,71;32,52
0,789540;6,53;15,93;-27,91;32,79
0,810015;6,89;15,83;-27,91;32,82
0,830097;6,83;15,98;-27,99;32,94
0,850093;6,83;15,81;-27,95;32,83
0,870559;7,04;15,95;-27,87;32,87
0,890366;6,75;15,93;-27,99;32,90
0,909451;7,00;15,76;-27,97;32,86
0,930859;6,87;15,53;-27,80;32,58
0,949954;6,75;15,25;-27,69;32,32
0,970227;6,53;15,35;-27,78;32,40
0,990262;6,44;15,27;-27,56;32,15
1,010294;6,68;15,42;-27,71;32,40
1,030369;6,36;15,57;-27,72;32,43
1,051522;6,74;15,68;-27,65;32,49
1,071817;6,51;15,74;-27,87;32,67
1,091415;6,59;15,76;-27,72;32,56
1,111848;6,62;15,97;-27,78;32,72
1,131906;6,51;15,95;-27,80;32,70
1,152088;6,53;16,10;-28,25;33,16
1,172580;6,47;16,02;-28,23;33,10
1,191963;6,68;15,93;-28,23;33,09
1,211887;6,75;15,68;-28,25;33,01
1,232106;6,83;15,61;-28,21;32,96
1,252049;6,75;15,76;-28,31;33,09
1,273121;6,87;15,78;-28,32;33,14
1,293095;7,15;15,78;-28,27;33,15
1,313589;7,45;15,57;-27,95;32,85
1,333254;7,49;15,66;-27,82;32,79
1,353665;7,41;15,66;-27,91;32,85
1,374128;7,15;15,80;-27,87;32,83
1,393926;7,06;15,80;-27,61;32,58
1,414786;7,28;15,72;-27,48;32,49
1,433640;7,30;15,57;-27,39;32,34
1,454230;6,94;15,57;-27,31;32,20
1,473787;6,70;15,74;-27,24;32,16
1,496406;6,66;15,57;-27,33;32,15
1,515858;6,60;15,53;-27,33;32,12
1,534871;6,57;15,55;-27,22;32,03
1,555000;6,79;15,42;-27,05;31,87
1,574896;6,45;15,38;-27,03;31,76
1,596315;6,36;15,33;-27,07;31,75
1,616735;6,64;15,25;-27,05;31,76
1,636230;6,42;15,25;-26,97;31,64
1,655838;6,45;15,38;-26,92;31,67
1,675124;6,59;15,38;-26,79;31,58
1,695623;6,64;15,35;-26,84;31,62
1,715514;6,74;15,70;-26,88;31,85
1,735934;6,85;15,78;-27,03;32,04
1,756010;6,85;15,96;-26,90;32,02
1,777675;6,81;15,87;-26,84;31,92
1,796581;7,20;15,81;-27,11;32,20
1,816451;7,19;15,78;-26,92;32,02
1,836607;7,09;15,85;-26,94;32,05
1,856697;7,15;15,96;-27,03;32,20
1,877415;6,87;15,70;-27,03;32,01
1,897244;6,81;15,68;-27,14;32,08
1,916974;6,83;15,57;-27,29;32,16
