time;Bx;By;Bz;BT
0,003743;7,71;14,33;-27,41;31,87
0,019104;7,47;14,26;-27,61;31,96
0,038410;7,45;14,41;-27,54;31,96
0,059573;7,32;14,54;-27,67;32,10
0,079944;7,50;14,37;-27,76;32,15
0,101203;7,41;14,45;-27,63;32,05
0,120318;7,56;14,61;-27,84;32,34
0,140676;7,34;14,91;-27,71;32,31
0,160602;7,35;15,03;-27,69;32,35
0,180239;7,45;15,25;-27,37;32,20
0,200243;7,32;15,18;-27,50;32,25
0,220605;7,37;15,14;-27,42;32,18
0,249910;7,41;14,91;-27,50;32,15
0,260827;7,37;15,05;-27,56;32,25
0,280951;7,37;15,08;-27,50;32,22
0,301018;7,49;14,93;-27,52;32,19
0,321599;7,50;14,90;-27,54;32,19
0,341452;7,67;14,67;-27,72;32,29
0,371242;7,95;14,73;-27,80;32,45
0,381596;8,07;14,58;-27,65;32,28
0,401581;7,90;14,80;-27,57;32,28
0,421946;7,92;14,78;-27,56;32,26
0,443338;8,03;14,71;-27,59;32,28
0,463694;8,18;14,82;-27,84;32,58
0,482761;8,05;14,75;-27,80;32,48
0,502341;7,82;14,93;-27,61;32,35
0,522203;7,82;14,73;-27,74;32,37
0,543299;7,69;14,82;-27,97;32,57
0,563364;7,52;14,61;-27,95;32,42
0,583531;7,49;14,71;-27,89;32,41
0,603275;7,24;14,65;-27,95;32,38
0,622846;7,07;14,61;-27,82;32,21
0,642838;7,20;14,69;-28,04;32,47
0,663759;7,56;14,63;-28,17;32,64
0,684916;7,43;14,67;-27,78;32,28
0,703977;7,65;14,71;-27,55;32,16
0,723783;7,97;14,88;-27,59;32,35
0,743903;7,95;14,73;-27,70;32,37
0,765838;7,94;14,78;-27,78;32,45
0,784731;8,05;14,62;-27,80;32,42
0,805295;7,90;14,60;-27,55;32,17
0,826339;7,84;14,67;-27,57;32,20
0,845289;7,88;14,63;-27,91;32,49
0,866293;7,75;14,60;-27,91;32,44
0,885769;7,56;14,60;-27,74;32,25
0,906291;7,90;14,37;-27,61;32,11
0,926815;7,94;14,43;-27,52;32,07
0,946800;7,82;14,50;-27,59;32,14
0,966266;7,64;14,43;-27,50;31,98
0,986456;7,41;14,46;-27,37;31,83
1,006350;7,64;14,67;-27,29;31,91
1,027346;7,58;14,76;-27,33;31,98
1,046618;7,58;14,73;-27,37;31,99
1,067169;7,34;14,88;-27,52;32,13
1,087298;7,22;14,73;-27,54;32,05
1,106935;7,30;14,76;-27,41;31,97
1,128173;7,35;14,84;-27,71;32,28
1,147852;7,35;14,84;-27,67;32,25
1,167305;6,98;14,82;-27,82;32,28
1,188046;6,96;14,75;-27,76;32,20
1,213253;7,04;14,69;-27,82;32,24
1,228642;7,09;14,60;-27,82;32,21
1,247721;7,24;14,56;-27,84;32,24
1,267727;7,20;14,56;-27,78;32,18
1,289164;7,37;14,48;-27,48;31,93
1,309724;7,24;14,45;-27,61;31,99
1,329141;7,34;14,41;-27,39;31,80
