time;Bx;By;Bz;BT
0,004118;7,86;18,27;-27,59;34,01
0,013623;6,72;17,13;-26,64;32,37
0,035197;6,92;14,46;-26,49;30,96
0,053855;8,35;14,69;-27,18;32,00
0,074443;8,76;17,46;-27,89;34,06
0,094823;7,30;18,51;-27,16;33,67
0,116031;5,89;16,75;-26,19;31,64
0,135193;6,49;14,58;-26,39;30,84
0,154834;7,80;15,16;-27,20;32,10
0,174812;7,54;17,35;-27,69;33,53
0,194903;6,10;18,31;-26,66;32,91
0,215382;5,55;16,36;-26,04;31,25
0,235879;6,57;14,30;-26,30;30,65
0,256033;7,69;15,36;-27,63;32,54
0,275438;7,86;18,05;-27,76;34,03
0,296165;6,36;18,08;-26,88;33,02
0,317505;5,82;15,53;-26,32;31,11
0,335897;7,20;14,24;-26,82;31,21
0,356252;8,46;16,10;-27,93;33,33
0,376404;7,92;17,97;-27,74;33,99
0,396559;6,44;17,33;-26,65;32,44
0,416545;6,51;14,99;-25,98;30,69
0,436211;7,92;13,86;-26,94;31,31
0,457399;8,76;15,93;-27,63;33,07
0,477438;7,88;18,01;-27,24;33,59
0,496855;6,89;17,41;-26,37;32,34
0,517314;7,07;14,37;-26,24;30,74
0,538803;8,05;14,24;-26,94;31,51
0,557785;8,46;16,94;-27,84;33,67
0,578451;7,41;18,27;-27,50;33,84
0,598190;6,08;16,56;-26,49;31,83
0,617923;6,34;14,46;-26,64;30,97
0,639393;7,92;14,56;-27,84;32,40
0,659349;7,56;16,41;-28,19;33,49
0,678208;6,04;17,65;-27,54;33,26
0,699413;5,37;15,63;-27,01;31,66
0,720713;6,29;13,41;-27,31;31,07
0,740783;7,11;14,31;-27,91;32,16
0,758698;6,90;17,18;-27,97;33,54
0,779348;5,95;17,69;-27,24;33,02
0,799991;5,48;15,25;-26,34;30,92
0,819982;6,89;14,03;-26,71;30,95
0,841043;8,20;15,81;-27,35;32,64
0,860135;7,95;18,18;-27,37;33,80
0,881922;6,57;17,69;-26,17;32,26
0,900741;6,45;15,35;-25,70;30,62
0,921792;7,92;14,30;-26,41;31,06
0,939905;8,93;15,91;-26,94;32,53
0,960440;7,88;18,16;-26,94;33,43
0,981364;6,59;17,46;-26,19;32,16
1,001745;6,96;14,41;-26,07;30,59
1,021876;8,18;13,98;-26,90;31,40
1,043527;8,63;16,73;-27,78;33,56
1,061121;7,84;18,46;-27,65;34,16
1,081313;6,49;16,68;-26,92;32,32
1,101051;6,47;14,24;-26,97;31,18
1,121119;8,10;14,80;-27,69;32,42
1,142518;8,22;17,11;-28,23;34,02
1,162015;6,44;18,46;-27,65;33,86
1,182493;5,31;16,41;-26,52;31,64
1,208974;6,25;14,01;-26,45;30,58
1,224005;7,30;14,45;-27,11;31,57
1,242093;6,94;17,16;-27,46;33,12
1,262444;5,93;17,91;-26,77;32,75
1,282090;5,12;15,29;-26,06;30,64
1,302557;6,14;13,23;-26,22;30,01
1,326033;7,34;14,86;-27,03;31,71
1,343912;7,24;17,46;-27,26;33,17
1,363684;5,93;17,09;-26,62;32,18
1,383629;6,06;14,71;-25,92;30,42
1,404032;7,80;13,64;-26,73;31,01
1,424005;9,02;15,46;-27,37;32,70
1,446324;8,27;17,69;-27,20;33,48
1,464031;7,13;17,03;-26,41;32,23
1,483633;7,79;14,30;-26,26;30,90
1,504001;9,12;13,68;-26,96;31,57
1,524449;9,62;16,06;-27,76;33,48
1,544449;8,24;18,03;-27,61;33,99
1,564647;7,30;16,51;-26,45;32,02
1,584729;7,11;13,92;-26,28;30,58
1,605383;8,48;14,15;-27,07;31,70
1,625466;8,76;16,98;-27,71;33,65
1,645904;6,96;17,91;-26,81;32,98
1,665258;5,84;16,00;-26,04;31,11
1,685107;6,59;14,20;-26,30;30,61
1,708658;8,14;14,90;-27,35;32,19
